dataset,delayed,depth,impurtiy,rel error,mae,,dataset,delayed,depth,impurtiy,rel error,accuracy,mae,
cars,0,6,3141.92,26.9101,2.8455,,cars,0,6,3047.472,26.74312,N/A,3.081844,
cars,0,6,3083.88,25.8288,2.81358,,cars,0,8,2899.336,26.77162,N/A,3.110352,
cars,0,6,3032.03,25.928,2.7926,,cars,0,10,2896.48,26.77124,N/A,3.10998,
cars,0,6,2931.07,27.5062,3.61629,,cars,0,12,2896.48,26.77124,N/A,3.10998,
cars,0,6,3048.46,27.5425,3.34125,,cars,0,14,2896.48,26.77124,N/A,3.10998,
cars,0,8,2926.56,26.8345,2.76992,,cars,0,16,2896.48,26.77124,N/A,3.10998,
cars,0,8,2978.95,25.8009,2.78567,,cars,0,18,2896.48,26.77124,N/A,3.10998,
cars,0,8,2904.41,26.0595,2.9241,,cars,1,6,3090.896,26.82502,N/A,3.163754,
cars,0,8,2836.45,27.4485,3.55867,,cars,1,8,3048.63,26.88098,N/A,3.219714,
cars,0,8,2850.31,27.7147,3.5134,,cars,1,10,3048.63,26.88098,N/A,3.219714,
cars,0,10,2926.56,26.8345,2.76992,,cars,1,12,3048.63,26.88098,N/A,3.219714,
cars,0,10,2964.67,25.799,2.78381,,cars,1,14,3048.63,26.88098,N/A,3.219714,
cars,0,10,2904.41,26.0595,2.9241,,cars,1,16,3048.63,26.88098,N/A,3.219714,
cars,0,10,2836.45,27.4485,3.55867,,cars,1,18,3048.63,26.88098,N/A,3.219714,
cars,0,10,2850.31,27.7147,3.5134,,,,,,,,,
cars,0,12,2926.56,26.8345,2.76992,,,,,,,,,
cars,0,12,2964.67,25.799,2.78381,,,,,,,,,
cars,0,12,2904.41,26.0595,2.9241,,,,,,,,,
cars,0,12,2836.45,27.4485,3.55867,,,,,,,,,
cars,0,12,2850.31,27.7147,3.5134,,,,,,,,,
cars,0,14,2926.56,26.8345,2.76992,,,,,,,,,
cars,0,14,2964.67,25.799,2.78381,,,,,,,,,
cars,0,14,2904.41,26.0595,2.9241,,,,,,,,,
cars,0,14,2836.45,27.4485,3.55867,,,,,,,,,
cars,0,14,2850.31,27.7147,3.5134,,,,,,,,,
cars,0,16,2926.56,26.8345,2.76992,,,,,,,,,
cars,0,16,2964.67,25.799,2.78381,,,,,,,,,
cars,0,16,2904.41,26.0595,2.9241,,,,,,,,,
cars,0,16,2836.45,27.4485,3.55867,,,,,,,,,
cars,0,16,2850.31,27.7147,3.5134,,,,,,,,,
cars,0,18,2926.56,26.8345,2.76992,,,,,,,,,
cars,0,18,2964.67,25.799,2.78381,,,,,,,,,
cars,0,18,2904.41,26.0595,2.9241,,,,,,,,,
cars,0,18,2836.45,27.4485,3.55867,,,,,,,,,
cars,0,18,2850.31,27.7147,3.5134,,,,,,,,,
cars,1,6,3175.58,26.8634,2.79884,,,,,,,,,
cars,1,6,3166.09,26.3454,3.33019,,,,,,,,,
cars,1,6,3082.25,25.8293,2.69383,,,,,,,,,
cars,1,6,3036.52,27.6228,3.73296,,,,,,,,,
cars,1,6,2994.04,27.4642,3.26295,,,,,,,,,
cars,1,8,3149.39,26.9012,2.83662,,,,,,,,,
cars,1,8,3166.09,26.3454,3.33019,,,,,,,,,
cars,1,8,3001.11,25.9506,2.8152,,,,,,,,,
cars,1,8,2999.93,27.7121,3.82225,,,,,,,,,
cars,1,8,2926.63,27.4956,3.29431,,,,,,,,,
cars,1,10,3149.39,26.9012,2.83662,,,,,,,,,
cars,1,10,3166.09,26.3454,3.33019,,,,,,,,,
cars,1,10,3001.11,25.9506,2.8152,,,,,,,,,
cars,1,10,2999.93,27.7121,3.82225,,,,,,,,,
cars,1,10,2926.63,27.4956,3.29431,,,,,,,,,
