dataset,delayed,depth,Impurity/deviance,rel error,accuracy,mae
cars,0,1,8169.744,27.81942,,3.903192
cars,0,2,4947.542,27.28532,,3.369122
cars,0,3,4162.458,27.19688,,3.280678
cars,0,4,3568.782,27.18976,,3.273548
cars,0,5,3246.66,27.19504,,3.278816
cars,0,6,3117.628,27.2804,,3.36422
cars,1,1,8169.744,27.81942,,3.903192
cars,1,2,5271.68,27.31038,,3.39416
cars,1,3,4274.198,27.20798,,3.291768
cars,1,4,3632.33,27.18226,,3.266066
cars,1,5,3085.524,27.23178,,3.315582
cars,1,6,2986.188,27.24272,,3.326492
wine,0,1,564.6,6.172412,54.35736,N/A
wine,0,2,551.2,6.183698,53.7931,N/A
wine,0,3,524,6.18119,53.89152,N/A
wine,0,4,484,6.153608,55.4859,N/A
wine,0,5,446.4,6.157366,54.92164,N/A
wine,0,6,399,6.158622,54.73356,N/A
wine,1,1,591.8,6.206268,51.72412,N/A
wine,1,2,573.2,6.189968,52.47648,N/A
wine,1,3,516.2,6.13598,56.42632,N/A
wine,1,4,478.4,6.13605,56.42634,N/A
wine,1,5,440.2,6.13605,57.0533,N/A
wine,1,6,394.2,6.117868,58.7461,N/A
protein,0,6,7893,1.60655,52.5147,N/A
protein,0,8,7249,1.57892,53.0282,N/A
protein,0,10,6265,1.5691,54.2516,N/A
protein,0,12,5424,1.57136,53.285,N/A
protein,0,14,4885,1.58647,52.4694,N/A
protein,0,16,4553,1.58375,52.2731,N/A
protein,0,18,4262,1.58783,51.82,N/A
protein,1,6,8019,1.60293,53.5569,N/A
protein,1,8,7198,1.56411,54.886,N/A
protein,1,10,6632,1.57363,53.1189,N/A
protein,1,12,5789,1.58843,52.9376,N/A
protein,1,14,5284,1.5833,53.3152,N/A
protein,1,16,4857,1.59024,52.8621,N/A
protein,1,18,4586,1.58405,52.9225,N/A
sensit,0,6,23832,2.63314,68.3887,N/A
sensit,0,8,22144,2.61522,69.7894,N/A
sensit,0,10,20748,2.61335,69.8503,N/A
sensit,0,12,18949,2.61502,69.9264,N/A
sensit,0,14,17296,2.62091,69.5306,N/A
sensit,0,16,16047,2.62898,69.0282,N/A
sensit,0,18,14965,2.63431,68.6983,N/A
sensit,1,6,24077,2.62187,68.5258,N/A
sensit,1,8,21741,2.61715,69.9721,N/A
sensit,1,10,20231,2.61,70.51,N/A
sensit,1,12,18163,2.61583,69.9721,N/A
sensit,1,14,16213,2.6274,69.1449,N/A
sensit,1,16,14812,2.63639,68.4344,N/A
sensit,1,18,14093,2.64405,67.9015,N/A
connect-4,0,6,15250.8,1.380386,71.3404,N/A
connect-4,0,8,14201,1.348618,72.86212,N/A
connect-4,0,10,12995.2,1.314604,74.48152,N/A
connect-4,0,12,11909.2,1.289998,75.5725,N/A
connect-4,0,14,10983,1.27354,76.30822,N/A
connect-4,0,16,10279,1.261684,76.6916,N/A
connect-4,0,18,9810,1.257584,76.84256,N/A
connect-4,1,6,15638.4,1.393398,70.66686,N/A
connect-4,1,8,14291.6,1.348042,72.90356,N/A
connect-4,1,10,12515,1.298824,75.2128,N/A
connect-4,1,12,10954.2,1.260632,77.02908,N/A
connect-4,1,14,9753.8,1.23794,77.96608,N/A
connect-4,1,16,8946,1.225224,78.50196,N/A
connect-4,1,18,8656.6,1.222722,78.573,N/A
mnist,0,6,15705,5.2851,74.16,N/A
mnist,0,8,10467,5.0787,81.8,N/A
mnist,0,10,6670,4.9271,86.4,N/A
mnist,0,12,4974,4.89,87.4,N/A
mnist,0,14,4436,4.8817,87.79,N/A
mnist,0,16,4328,4.8792,87.89,N/A
mnist,0,18,4323,4.879,87.89,N/A
mnist,1,6,,,,N/A
mnist,1,8,,,,N/A
mnist,1,10,,,,N/A
mnist,1,12,,,,N/A
mnist,1,14,,,,N/A
mnist,1,16,,,,N/A
mnist,1,18,,,,N/A
