delayed,depth,impurity,relerror,accuracy
0,6,391207,2006.1,0.0777246
0,8,389982,2005.89,0.0801696
0,10,387617,2005.72,0.0778702
0,12,382692,2005.68,0.0783553
0,14,374050,2005.7,0.0748916
0,16,362090,2005.75,0.072631
0,18,348806,2005.9,0.0711756
0,6,391201,2006.14,0.0803539
0,8,389973,2005.88,0.0814503
0,10,387534,2005.69,0.0812271
0,12,382525,2005.64,0.0817123
0,14,374187,2005.66,0.0801696
0,16,362301,2005.72,0.0782777
0,18,348889,2005.79,0.0792188
0,6,391229,2006.02,0.0799464
0,8,390047,2005.8,0.0814406
0,10,387819,2005.63,0.0820324
0,12,382877,2005.62,0.0822168
0,14,374119,2005.58,0.0815376
0,16,362297,2005.65,0.081722
0,18,348838,2005.79,0.0798979
0,6,391209,2006.07,0.0805674
0,8,390016,2005.75,0.0817996
0,10,387645,2005.69,0.0805577
0,12,382599,2005.57,0.0803927
0,14,373677,2005.58,0.0793934
0,16,361463,2005.64,0.0809167
0,18,347743,2005.77,0.0784523
0,6,391232,2006.04,0.08146
0,8,390044,2005.83,0.0814988
0,10,387688,2005.74,0.0836042
0,12,382859,2005.65,0.0821391
0,14,374407,2005.62,0.0811398
0,16,362516,2005.68,0.0798494
0,18,349084,2005.81,0.0792479
