delayed,depth,impurity,relerror,accuracy
3,6,73.7458,0.518167,0.957346
3,8,72.5906,0.518167,0.957346
3,10,72.5906,0.518167,0.957346
3,12,72.5906,0.518167,0.957346
3,14,72.5906,0.518167,0.957346
3,16,72.5906,0.518167,0.957346
3,18,72.5906,0.518167,0.957346
3,6,83.27,0.519747,0.965245
3,8,80.8242,0.519747,0.965245
3,10,80.8242,0.519747,0.965245
3,12,80.8242,0.519747,0.965245
3,14,80.8242,0.519747,0.965245
3,16,80.8242,0.519747,0.965245
3,18,80.8242,0.519747,0.965245
3,6,74.5387,0.526066,0.979463
3,8,74.4641,0.526066,0.979463
3,10,74.4716,0.526066,0.979463
3,12,74.4716,0.526066,0.979463
3,14,74.4716,0.526066,0.979463
3,16,74.4716,0.526066,0.979463
3,18,74.4716,0.526066,0.979463
3,6,88.7789,0.538705,0.963665
3,8,86.9001,0.538705,0.963665
3,10,86.8599,0.538705,0.963665
3,12,86.8599,0.538705,0.963665
3,14,86.4669,0.538705,0.963665
3,16,86.4669,0.538705,0.963665
3,18,86.8599,0.538705,0.963665
3,6,79.3348,0.541864,0.976303
3,8,78.4362,0.541864,0.976303
3,10,78.4198,0.541864,0.976303
3,12,78.4198,0.541864,0.976303
3,14,78.4198,0.541864,0.976303
3,16,78.4198,0.541864,0.976303
3,18,78.4198,0.541864,0.976303
