delayed,depth,impurity,relerror,accuracy
0,6,4.04754e+07,2005.52,6.98965
0,8,3.86723e+07,2005.38,6.85349
0,10,3.66279e+07,2005.33,6.79916
0,12,3.35734e+07,2005.4,6.87633
0,14,2.94742e+07,2005.6,7.07489
0,16,2.51247e+07,2005.85,7.3288
0,18,2.15758e+07,2006.09,7.56543
0,6,4.00719e+07,2005.45,7.07985
0,8,3.83445e+07,2005.3,6.92845
0,10,3.62963e+07,2005.23,6.85667
0,12,3.32416e+07,2005.29,6.9158
0,14,2.90375e+07,2005.49,7.11627
0,16,2.46715e+07,2005.74,7.36529
0,18,2.11488e+07,2005.96,7.59166
0,6,4.03216e+07,2005.45,7.03693
0,8,3.85856e+07,2005.31,6.89282
0,10,3.64663e+07,2005.23,6.82057
0,12,3.3459e+07,2005.29,6.87723
0,14,2.9306e+07,2005.48,7.06622
0,16,2.49409e+07,2005.72,7.30915
0,18,2.14048e+07,2005.95,7.53927
0,6,4.01906e+07,2005.44,7.05209
0,8,3.84164e+07,2005.28,6.89106
0,10,3.63364e+07,2005.21,6.8221
0,12,3.33194e+07,2005.27,6.88566
0,14,2.9109e+07,2005.46,7.07787
0,16,2.47657e+07,2005.72,7.3353
0,18,2.14082e+07,2005.93,7.54179
0,6,4.03566e+07,2005.46,7.04116
0,8,3.86189e+07,2005.32,6.89545
0,10,3.65746e+07,2005.25,6.82864
0,12,3.34677e+07,2005.3,6.8795
0,14,2.92353e+07,2005.47,7.05279
0,16,2.48439e+07,2005.74,7.31493
0,18,2.12617e+07,2005.97,7.54882
