delayed,depth,impurity,relerror,accuracy
1,6,4.04698e+07,2005.52,6.99558
1,8,3.87413e+07,2005.39,6.86802
1,10,3.68431e+07,2005.34,6.81472
1,12,3.40997e+07,2005.42,6.89064
1,14,2.99744e+07,2005.63,7.09918
1,16,2.55571e+07,2005.89,7.36722
1,18,2.21368e+07,2006.11,7.58676
1,6,4.01037e+07,2005.45,7.07846
1,8,3.83987e+07,2005.3,6.93014
1,10,3.65184e+07,2005.23,6.85876
1,12,3.38258e+07,2005.29,6.92167
1,14,2.98995e+07,2005.48,7.10678
1,16,2.57842e+07,2005.71,7.33743
1,18,2.2512e+07,2005.92,7.5517
1,6,4.03177e+07,2005.45,7.0364
1,8,3.8575e+07,2005.29,6.87987
1,10,3.66927e+07,2005.23,6.81735
1,12,3.39848e+07,2005.3,6.88253
1,14,3.01737e+07,2005.49,7.08024
1,16,2.59955e+07,2005.76,7.3438
1,18,2.27038e+07,2005.99,7.57414
1,6,4.01913e+07,2005.43,7.04962
1,8,3.84803e+07,2005.29,6.90111
1,10,3.6549e+07,2005.21,6.82573
1,12,3.38017e+07,2005.28,6.89558
1,14,2.97392e+07,2005.47,7.08177
1,16,2.5393e+07,2005.74,7.35127
1,18,2.20798e+07,2005.95,7.56472
1,6,4.03525e+07,2005.47,7.04607
1,8,3.86525e+07,2005.32,6.89778
1,10,3.67363e+07,2005.25,6.82878
1,12,3.39914e+07,2005.3,6.87604
1,14,3.00742e+07,2005.48,7.06012
1,16,2.60226e+07,2005.73,7.30797
1,18,2.27068e+07,2005.95,7.53206
