dataset,depth,delayed,imp,rel,acc
abalone,6,0,1597.348,1.5211979999999996,0.5437125999999999
abalone,6,1,1600.596,1.5262299999999998,0.5451498
abalone,8,0,1465.6979999999999,1.532456,0.534611
abalone,8,1,1455.714,1.5446680000000002,0.5235928
abalone,10,0,1370.716,1.541078,0.5269463999999999
abalone,10,1,1338.916,1.55928,0.5171256000000001
abalone,12,0,1299.2939999999999,1.542036,0.5255090000000001
abalone,12,1,1291.498,1.565988,0.515928
abalone,14,0,1262.5,1.5389220000000001,0.5288624000000001
abalone,14,1,1277.426,1.5693419999999998,0.5142516
abalone,16,0,1235.218,1.5370079999999997,0.5312576
abalone,16,1,1275.4720000000002,1.569102,0.514491
abalone,18,0,1221.236,1.542276,0.527425
abalone,18,1,1275.4720000000002,1.569102,0.514491
