dataset,depth,delayed,imp,rel,acc
adult_procd,6,0,0.0,0.38673219999999997,0.8548220000000001
adult_procd,6,1,0.0,0.38780719999999996,0.8537468
adult_procd,8,0,0.0,0.38504299999999997,0.856511
adult_procd,8,1,0.0,0.38664020000000004,0.8549138
adult_procd,10,0,0.0,0.382156,0.859398
adult_procd,10,1,0.0,0.3845824,0.8569718
adult_procd,12,0,0.0,0.38534999999999997,0.8562038000000001
adult_procd,12,1,0.0,0.38553439999999994,0.8560193999999999
adult_procd,14,0,0.0,0.3875306,0.8540232
adult_procd,14,1,0.0,0.3872544,0.8542998
adult_procd,16,0,0.0,0.3928134,0.8487406
adult_procd,16,1,0.0,0.3906328,0.8509214
adult_procd,18,0,0.0,0.3953934,0.8461608
adult_procd,18,1,0.0,0.39173840000000004,0.8498156
