dataset,depth,delayed,imp,rel,acc
arrhythmia_procd,1,0,219.40320000000003,6.506665999999998,0.5777778
arrhythmia_procd,1,1,225.1422,6.768888,0.5488888
arrhythmia_procd,2,0,194.98559999999998,6.4155560000000005,0.6066666000000001
arrhythmia_procd,2,1,191.7554,6.364446,0.6111108
arrhythmia_procd,3,0,175.09879999999998,6.368888,0.6355556
arrhythmia_procd,3,1,179.86219999999997,6.351112,0.6
arrhythmia_procd,4,0,159.887,6.32,0.6488889999999999
arrhythmia_procd,4,1,169.48340000000002,6.402220000000002,0.5888888
arrhythmia_procd,5,0,149.6204,6.331110000000001,0.648889
arrhythmia_procd,5,1,163.89360000000002,6.38,0.6022222
arrhythmia_procd,6,0,138.1826,6.4,0.6355556
arrhythmia_procd,6,1,161.58440000000002,6.38,0.6022222
