dataset,depth,delayed,imp,rel,acc
bank_procd,6,0,4178.99,1.473388,0.9185356
bank_procd,6,1,5092.303999999999,1.504226,0.9061490000000001
bank_procd,8,0,3525.6420000000007,1.454256,0.9272286
bank_procd,8,1,4724.219999999999,1.50042,0.9071442
bank_procd,10,0,3274.84,1.4581080000000002,0.923955
bank_procd,10,1,4195.639999999999,1.493786,0.9097768
bank_procd,12,0,3041.188,1.459966,0.9215662
bank_procd,12,1,3813.2699999999995,1.49206,0.9095112000000001
bank_procd,14,0,2855.6099999999997,1.46346,0.9186242
bank_procd,14,1,3619.918,1.492742,0.9080956
bank_procd,16,0,2741.6400000000003,1.4664000000000001,0.9161467999999999
bank_procd,16,1,3505.7699999999995,1.4964179999999998,0.9051537999999999
bank_procd,18,0,2677.302,1.467286,0.9150852
bank_procd,18,1,3452.7580000000003,1.497478,0.904291
