dataset,delayed,depth,impurity,relerror,accuracy
abalone,1,6,1598.55,1.57485,0.5341319999999999
abalone,1,8,1453.9,1.59281,0.5113770000000001
abalone,1,10,1336.32,1.59401,0.513772
abalone,1,12,1283.25,1.61198,0.5053890000000001
abalone,1,14,1269.36,1.61317,0.504192
abalone,1,16,1264.28,1.6107799999999999,0.506587
abalone,1,18,1264.28,1.6107799999999999,0.506587
abalone,1,6,1603.4,1.52695,0.538922
abalone,1,8,1433.12,1.53413,0.531737
abalone,1,10,1299.18,1.57844,0.500599
abalone,1,12,1253.88,1.57964,0.501796
abalone,1,14,1251.69,1.57964,0.501796
abalone,1,16,1251.69,1.57964,0.501796
abalone,1,18,1251.69,1.57964,0.501796
abalone,1,6,1607.31,1.52575,0.529341
abalone,1,8,1481.22,1.53772,0.5149699999999999
abalone,1,10,1357.76,1.55928,0.507784
abalone,1,12,1321.54,1.56407,0.5089819999999999
abalone,1,14,1315.38,1.56647,0.506587
abalone,1,16,1311.26,1.56766,0.5053890000000001
abalone,1,18,1311.26,1.56766,0.5053890000000001
abalone,1,6,1592.39,1.49701,0.555689
abalone,1,8,1454.16,1.54611,0.5113770000000001
abalone,1,10,1336.01,1.54251,0.5161680000000001
abalone,1,12,1290.49,1.53772,0.520958
abalone,1,14,1275.92,1.54611,0.520958
abalone,1,16,1275.92,1.54611,0.520958
abalone,1,18,1275.92,1.54611,0.520958
abalone,1,6,1601.33,1.5065899999999999,0.567665
abalone,1,8,1456.17,1.51257,0.548503
abalone,1,10,1365.31,1.52216,0.547305
abalone,1,12,1308.33,1.53653,0.542515
abalone,1,14,1274.78,1.54132,0.537725
abalone,1,16,1274.21,1.54132,0.537725
abalone,1,18,1274.21,1.54132,0.537725
abalone,0,6,1599.37,1.56287,0.537725
abalone,0,8,1438.17,1.58802,0.525749
abalone,0,10,1326.54,1.59521,0.520958
abalone,0,12,1254.42,1.59162,0.5221560000000001
abalone,0,14,1232.9,1.59521,0.51976
abalone,0,16,1218.28,1.58922,0.525749
abalone,0,18,1215.02,1.59521,0.51976
abalone,0,6,1594.69,1.50898,0.550898
abalone,0,8,1457.24,1.54132,0.525749
abalone,0,10,1339.72,1.53892,0.525749
abalone,0,12,1254.19,1.54611,0.518563
abalone,0,14,1216.76,1.53772,0.5221560000000001
abalone,0,16,1198.17,1.54132,0.520958
abalone,0,18,1198.17,1.54132,0.520958
abalone,0,6,1578.51,1.5149700000000001,0.538922
abalone,0,8,1466.41,1.49581,0.548503
abalone,0,10,1386.56,1.51138,0.537725
abalone,0,12,1319.71,1.51138,0.5365270000000001
abalone,0,14,1272.81,1.51617,0.5401199999999999
abalone,0,16,1233.78,1.51617,0.538922
abalone,0,18,1219.23,1.51976,0.5341319999999999
abalone,0,6,1602.19,1.52216,0.520958
abalone,0,8,1477.14,1.52575,0.526946
abalone,0,10,1391.49,1.55569,0.500599
abalone,0,12,1330.0,1.56287,0.501796
abalone,0,14,1293.96,1.5497,0.512575
abalone,0,16,1249.84,1.54132,0.524551
abalone,0,18,1214.64,1.54132,0.520958
abalone,0,6,1611.98,1.49701,0.57006
abalone,0,8,1489.53,1.51138,0.546108
abalone,0,10,1409.27,1.50419,0.549701
abalone,0,12,1338.15,1.4982,0.548503
abalone,0,14,1296.07,1.49581,0.549701
abalone,0,16,1276.02,1.49701,0.546108
abalone,0,18,1259.12,1.51377,0.541317
