dataset,delayed,depth,impurity,relerror,accuracy
adult_procd,1,6,5371.66,0.398956,0.846744
adult_procd,1,8,5092.33,0.394349,0.851351
adult_procd,1,10,4854.26,0.393888,0.8518120000000001
adult_procd,1,12,4667.37,0.394042,0.851658
adult_procd,1,14,4457.17,0.393888,0.8518120000000001
adult_procd,1,16,4287.49,0.40018400000000004,0.8455159999999999
adult_procd,1,18,4184.52,0.40279499999999996,0.8429049999999999
adult_procd,1,6,5395.17,0.39112399999999997,0.847512
adult_procd,1,8,5042.26,0.388206,0.8504299999999999
adult_procd,1,10,4820.12,0.38190999999999997,0.856726
adult_procd,1,12,4633.89,0.383753,0.854883
adult_procd,1,14,4444.39,0.387439,0.851198
adult_procd,1,16,4280.39,0.39266,0.8459770000000001
adult_procd,1,18,4165.32,0.390971,0.847666
adult_procd,1,6,5372.91,0.383292,0.85519
adult_procd,1,8,5083.25,0.38406,0.8544229999999999
adult_procd,1,10,4870.27,0.383292,0.85519
adult_procd,1,12,4672.48,0.383446,0.855037
adult_procd,1,14,4497.57,0.3836,0.854883
adult_procd,1,16,4347.46,0.38605700000000004,0.852426
adult_procd,1,18,4236.2,0.38805300000000004,0.8504299999999999
adult_procd,1,6,5305.23,0.378225,0.8547299999999999
adult_procd,1,8,5022.73,0.37853200000000004,0.8544229999999999
adult_procd,1,10,4833.99,0.376075,0.85688
adult_procd,1,12,4613.65,0.376229,0.856726
adult_procd,1,14,4434.46,0.37976,0.853194
adult_procd,1,16,4297.79,0.3836,0.849355
adult_procd,1,18,4192.79,0.38145,0.851505
adult_procd,1,6,5273.13,0.385442,0.8547299999999999
adult_procd,1,8,4995.59,0.38697800000000004,0.853194
adult_procd,1,10,4805.72,0.38574899999999995,0.8544229999999999
adult_procd,1,12,4601.55,0.382525,0.8576469999999999
adult_procd,1,14,4390.4,0.389281,0.850891
adult_procd,1,16,4244.38,0.39481,0.8453620000000001
adult_procd,1,18,4156.72,0.394502,0.84567
adult_procd,0,6,5214.14,0.393735,0.851966
adult_procd,0,8,4956.24,0.39173800000000003,0.8539620000000001
adult_procd,0,10,4777.65,0.390356,0.8553440000000001
adult_procd,0,12,4583.67,0.392506,0.853194
adult_procd,0,14,4410.85,0.398034,0.847666
adult_procd,0,16,4285.16,0.40171999999999997,0.84398
adult_procd,0,18,4197.29,0.404945,0.840756
adult_procd,0,6,5243.41,0.385903,0.852733
adult_procd,0,8,4970.74,0.38574899999999995,0.8528870000000001
adult_procd,0,10,4774.44,0.379914,0.858722
adult_procd,0,12,4585.6,0.381296,0.85734
adult_procd,0,14,4425.06,0.387285,0.851351
adult_procd,0,16,4274.64,0.387285,0.851351
adult_procd,0,18,4143.55,0.39311999999999997,0.8455159999999999
adult_procd,0,6,5325.52,0.387439,0.851044
adult_procd,0,8,5003.48,0.37853200000000004,0.859951
adult_procd,0,10,4799.41,0.38190999999999997,0.8565719999999999
adult_procd,0,12,4609.73,0.38467399999999996,0.853808
adult_procd,0,14,4440.19,0.383446,0.855037
adult_procd,0,16,4310.66,0.388821,0.849662
adult_procd,0,18,4215.84,0.38974200000000003,0.848741
adult_procd,0,6,5240.43,0.37715,0.8558049999999999
adult_procd,0,8,4988.85,0.375,0.8579549999999999
adult_procd,0,10,4800.48,0.372236,0.860719
adult_procd,0,12,4604.77,0.374232,0.858722
adult_procd,0,14,4429.32,0.374846,0.858108
adult_procd,0,16,4300.57,0.377764,0.85519
adult_procd,0,18,4195.35,0.382371,0.850584
adult_procd,0,6,5245.51,0.386671,0.8535010000000001
adult_procd,0,8,4982.77,0.386824,0.853348
adult_procd,0,10,4773.81,0.381603,0.858569
adult_procd,0,12,4573.64,0.384214,0.855958
adult_procd,0,14,4397.11,0.385903,0.8542690000000001
adult_procd,0,16,4248.44,0.384367,0.8558049999999999
adult_procd,0,18,4161.79,0.386671,0.8535010000000001
