dataset,delayed,depth,impurity,relerror,accuracy
appt_noshows_procd,1,6,26571.3,0.413391,0.793169
appt_noshows_procd,1,8,26314.3,0.414522,0.792038
appt_noshows_procd,1,10,25813.5,0.416105,0.790455
appt_noshows_procd,1,12,25094.2,0.418095,0.788464
appt_noshows_procd,1,14,24330.9,0.422484,0.784076
appt_noshows_procd,1,16,23627.5,0.426691,0.7798689999999999
appt_noshows_procd,1,18,23057.5,0.42868100000000003,0.777878
appt_noshows_procd,1,6,26793.9,0.39624499999999996,0.80181
appt_noshows_procd,1,8,26480.9,0.397964,0.80009
appt_noshows_procd,1,10,25927.8,0.40104,0.797014
appt_noshows_procd,1,12,25154.6,0.40642399999999995,0.7916310000000001
appt_noshows_procd,1,14,24286.6,0.41167200000000004,0.7863829999999999
appt_noshows_procd,1,16,23629.7,0.41574300000000003,0.782312
appt_noshows_procd,1,18,23120.9,0.417688,0.780366
appt_noshows_procd,1,6,26614.9,0.407057,0.796426
appt_noshows_procd,1,8,26343.3,0.40769099999999997,0.7957930000000001
appt_noshows_procd,1,10,25806.5,0.410088,0.793395
appt_noshows_procd,1,12,25038.9,0.41434099999999996,0.789143
appt_noshows_procd,1,14,24166.7,0.418095,0.785388
appt_noshows_procd,1,16,23422.0,0.422212,0.781271
appt_noshows_procd,1,18,22891.8,0.424519,0.778964
appt_noshows_procd,1,6,26698.7,0.397648,0.801086
appt_noshows_procd,1,8,26415.9,0.398688,0.800045
appt_noshows_procd,1,10,25956.1,0.400769,0.797964
appt_noshows_procd,1,12,25324.0,0.403619,0.795114
appt_noshows_procd,1,14,24529.1,0.408369,0.7903640000000001
appt_noshows_procd,1,16,23810.8,0.415426,0.783307
appt_noshows_procd,1,18,23291.5,0.418638,0.780095
appt_noshows_procd,1,6,26699.5,0.401674,0.799231
appt_noshows_procd,1,8,26455.6,0.402986,0.7979189999999999
appt_noshows_procd,1,10,25881.0,0.403845,0.797059
appt_noshows_procd,1,12,25179.2,0.408279,0.792626
appt_noshows_procd,1,14,24378.5,0.41406899999999996,0.786836
appt_noshows_procd,1,16,23661.0,0.418141,0.782764
appt_noshows_procd,1,18,23174.4,0.42013100000000003,0.780774
appt_noshows_procd,0,6,26562.3,0.4133,0.793259
appt_noshows_procd,0,8,26314.0,0.41420500000000005,0.792355
appt_noshows_procd,0,10,25907.4,0.415245,0.7913140000000001
appt_noshows_procd,0,12,25253.9,0.41696400000000006,0.7895949999999999
appt_noshows_procd,0,14,24503.6,0.42117200000000005,0.785388
appt_noshows_procd,0,16,23756.1,0.42438400000000004,0.782176
appt_noshows_procd,0,18,23255.5,0.42605699999999996,0.780502
appt_noshows_procd,0,6,26762.5,0.39660700000000004,0.8014479999999999
appt_noshows_procd,0,8,26502.3,0.39719499999999996,0.80086
appt_noshows_procd,0,10,26071.0,0.398914,0.79914
appt_noshows_procd,0,12,25403.7,0.40366399999999997,0.7943899999999999
appt_noshows_procd,0,14,24585.8,0.40963599999999994,0.788419
appt_noshows_procd,0,16,23847.7,0.411717,0.786338
appt_noshows_procd,0,18,23348.2,0.4133,0.784755
appt_noshows_procd,0,6,26601.0,0.406695,0.796788
appt_noshows_procd,0,8,26348.1,0.4076,0.795883
appt_noshows_procd,0,10,25920.7,0.40995200000000004,0.793531
appt_noshows_procd,0,12,25331.9,0.411038,0.792445
appt_noshows_procd,0,14,24620.6,0.41388800000000003,0.7895949999999999
appt_noshows_procd,0,16,23955.3,0.418684,0.7848
appt_noshows_procd,0,18,23388.1,0.42243800000000004,0.781045
appt_noshows_procd,0,6,26682.7,0.397874,0.80086
appt_noshows_procd,0,8,26447.2,0.3981,0.800633
appt_noshows_procd,0,10,26031.3,0.401312,0.797421
appt_noshows_procd,0,12,25457.9,0.404343,0.7943899999999999
appt_noshows_procd,0,14,24786.1,0.408414,0.790319
appt_noshows_procd,0,16,24111.7,0.411717,0.787017
appt_noshows_procd,0,18,23560.9,0.41511000000000003,0.783624
appt_noshows_procd,0,6,26692.4,0.401629,0.799276
appt_noshows_procd,0,8,26426.5,0.402624,0.798281
appt_noshows_procd,0,10,25979.4,0.405202,0.795702
appt_noshows_procd,0,12,25343.6,0.40769099999999997,0.7932140000000001
appt_noshows_procd,0,14,24639.8,0.41262200000000004,0.788283
appt_noshows_procd,0,16,23973.9,0.41425,0.786655
appt_noshows_procd,0,18,23461.6,0.415472,0.785433
