dataset,delayed,depth,impurity,relerror,accuracy
arrhythmia_procd,1,1,222.747,7.34444,0.555556
arrhythmia_procd,1,2,189.168,6.63333,0.633333
arrhythmia_procd,1,3,174.523,6.577780000000001,0.6444439999999999
arrhythmia_procd,1,4,158.942,6.47778,0.677778
arrhythmia_procd,1,5,146.984,6.611110000000001,0.6444439999999999
arrhythmia_procd,1,6,142.255,6.611110000000001,0.6444439999999999
arrhythmia_procd,1,1,222.649,7.1,0.511111
arrhythmia_procd,1,2,198.358,6.8777800000000004,0.588889
arrhythmia_procd,1,3,178.668,6.53333,0.622222
arrhythmia_procd,1,4,162.03799999999998,6.422219999999999,0.6444439999999999
arrhythmia_procd,1,5,147.987,6.3777800000000004,0.6444439999999999
arrhythmia_procd,1,6,142.019,6.4888900000000005,0.622222
arrhythmia_procd,1,1,233.16099999999997,5.86667,0.6444439999999999
arrhythmia_procd,1,2,207.30200000000002,5.7333300000000005,0.655556
arrhythmia_procd,1,3,189.422,5.5,0.677778
arrhythmia_procd,1,4,177.61900000000003,5.54444,0.677778
arrhythmia_procd,1,5,164.549,5.6,0.677778
arrhythmia_procd,1,6,156.536,5.6,0.677778
arrhythmia_procd,1,1,226.519,5.86667,0.555556
arrhythmia_procd,1,2,197.627,5.82222,0.566667
arrhythmia_procd,1,3,181.845,6.13333,0.555556
arrhythmia_procd,1,4,161.175,7.0,0.5
arrhythmia_procd,1,5,156.92700000000002,7.0,0.5
arrhythmia_procd,1,6,144.929,7.63333,0.477778
arrhythmia_procd,1,1,229.075,5.8444400000000005,0.6
arrhythmia_procd,1,2,201.09599999999998,5.86667,0.5222220000000001
arrhythmia_procd,1,3,180.986,5.6555599999999995,0.555556
arrhythmia_procd,1,4,165.90400000000002,5.72222,0.577778
arrhythmia_procd,1,5,148.814,5.52222,0.622222
arrhythmia_procd,1,6,135.984,5.5111099999999995,0.633333
arrhythmia_procd,0,1,220.93599999999998,6.788889999999999,0.611111
arrhythmia_procd,0,2,194.81799999999998,6.7333300000000005,0.566667
arrhythmia_procd,0,3,177.523,6.7333300000000005,0.611111
arrhythmia_procd,0,4,161.24,6.7,0.622222
arrhythmia_procd,0,5,146.869,6.54444,0.611111
arrhythmia_procd,0,6,141.219,6.5,0.622222
arrhythmia_procd,0,1,214.78099999999998,6.96667,0.533333
arrhythmia_procd,0,2,189.894,6.81111,0.588889
arrhythmia_procd,0,3,171.21900000000002,6.83333,0.6
arrhythmia_procd,0,4,158.59,6.744439999999999,0.611111
arrhythmia_procd,0,5,144.636,6.6,0.633333
arrhythmia_procd,0,6,134.025,6.611110000000001,0.622222
arrhythmia_procd,0,1,227.207,5.7333300000000005,0.666667
arrhythmia_procd,0,2,200.511,5.63333,0.666667
arrhythmia_procd,0,3,183.2,5.54444,0.7
arrhythmia_procd,0,4,166.00099999999998,6.433330000000001,0.666667
arrhythmia_procd,0,5,156.248,6.2,0.6888890000000001
arrhythmia_procd,0,6,151.088,6.2,0.6888890000000001
arrhythmia_procd,0,1,217.321,6.0111099999999995,0.555556
arrhythmia_procd,0,2,189.727,5.922219999999999,0.566667
arrhythmia_procd,0,3,170.345,5.8777800000000004,0.566667
arrhythmia_procd,0,4,157.123,5.8777800000000004,0.611111
arrhythmia_procd,0,5,139.986,5.74444,0.611111
arrhythmia_procd,0,6,128.10399999999998,7.13333,0.533333
arrhythmia_procd,0,1,223.79,5.8777800000000004,0.577778
arrhythmia_procd,0,2,190.47099999999998,5.28889,0.633333
arrhythmia_procd,0,3,168.886,5.31111,0.655556
arrhythmia_procd,0,4,152.601,5.97778,0.633333
arrhythmia_procd,0,5,139.071,5.86667,0.6444439999999999
arrhythmia_procd,0,6,132.036,6.3444400000000005,0.622222
