dataset,delayed,depth,impurity,relerror,accuracy
bank_procd,3,6,2987.18,0.6227600000000001,0.693099
bank_procd,3,8,2710.35,0.619664,0.696196
bank_procd,3,10,2502.59,0.613913,0.701946
bank_procd,3,12,2304.84,0.6113689999999999,0.70449
bank_procd,3,14,2185.41,0.610816,0.705043
bank_procd,3,16,2138.29,0.610484,0.705375
bank_procd,3,18,2115.47,0.61159,0.7042689999999999
bank_procd,3,6,4973.72,0.221079,0.8983629999999999
bank_procd,3,8,4497.05,0.220084,0.899359
bank_procd,3,10,4129.53,0.220084,0.899359
bank_procd,3,12,3842.58,0.22572399999999998,0.893718
bank_procd,3,14,3605.36,0.227052,0.8923909999999999
bank_procd,3,16,3444.26,0.22539299999999998,0.89405
bank_procd,3,18,3363.1,0.22815700000000003,0.891285
bank_procd,3,6,4988.64,0.218204,0.898474
bank_procd,3,8,4518.79,0.21941999999999998,0.897257
bank_procd,3,10,4084.99,0.22019499999999997,0.896483
bank_procd,3,12,3712.5,0.22296,0.893718
bank_procd,3,14,3521.76,0.22307,0.893608
bank_procd,3,16,3394.51,0.225061,0.891617
bank_procd,3,18,3344.91,0.225946,0.890732
bank_procd,3,6,5071.75,0.222075,0.896372
bank_procd,3,8,4517.38,0.22119,0.897257
bank_procd,3,10,4102.32,0.22417600000000001,0.8942709999999999
bank_procd,3,12,3755.57,0.22782600000000003,0.8906219999999999
bank_procd,3,14,3523.9,0.231697,0.8867510000000001
bank_procd,3,16,3390.43,0.23235999999999998,0.8860870000000001
bank_procd,3,18,3334.32,0.23158600000000001,0.886861
bank_procd,3,6,4934.12,0.229595,0.8959299999999999
bank_procd,3,8,4442.63,0.233134,0.8923909999999999
bank_procd,3,10,3974.46,0.231807,0.893718
bank_procd,3,12,3656.57,0.23258099999999998,0.8929440000000001
bank_procd,3,14,3476.68,0.235567,0.889958
bank_procd,3,16,3340.29,0.235236,0.8902899999999999
bank_procd,3,18,3287.68,0.23589899999999997,0.889626
bank_procd,2,6,2975.31,0.6219859999999999,0.693873
bank_procd,2,8,2590.71,0.6160140000000001,0.6998449999999999
bank_procd,2,10,2347.09,0.612696,0.703163
bank_procd,2,12,2200.8,0.609378,0.706481
bank_procd,2,14,2099.13,0.608162,0.707697
bank_procd,2,16,2057.65,0.6077199999999999,0.70814
bank_procd,2,18,2041.96,0.607941,0.707919
bank_procd,2,6,4780.57,0.22406500000000001,0.8953770000000001
bank_procd,2,8,4356.9,0.214775,0.904667
bank_procd,2,10,3969.05,0.220084,0.899359
bank_procd,2,12,3634.66,0.22384400000000002,0.895598
bank_procd,2,14,3419.32,0.22472899999999998,0.8947139999999999
bank_procd,2,16,3317.51,0.22417600000000001,0.895267
bank_procd,2,18,3270.04,0.22439699999999999,0.8950450000000001
bank_procd,2,6,4792.32,0.218757,0.8979209999999999
bank_procd,2,8,4389.21,0.218315,0.8983629999999999
bank_procd,2,10,3938.65,0.221079,0.895598
bank_procd,2,12,3597.12,0.223402,0.8932760000000001
bank_procd,2,14,3418.59,0.222849,0.8938290000000001
bank_procd,2,16,3294.63,0.224287,0.8923909999999999
bank_procd,2,18,3263.87,0.22439699999999999,0.89228
bank_procd,2,6,4822.04,0.22240700000000002,0.896041
bank_procd,2,8,4365.71,0.22163200000000002,0.8968149999999999
bank_procd,2,10,3955.42,0.22495,0.893497
bank_procd,2,12,3587.67,0.22804699999999997,0.8904
bank_procd,2,14,3385.67,0.23191799999999999,0.8865299999999999
bank_procd,2,16,3287.84,0.232802,0.8856450000000001
bank_procd,2,18,3231.15,0.233798,0.884649
bank_procd,2,6,4783.4,0.229816,0.895709
bank_procd,2,8,4386.92,0.229485,0.896041
bank_procd,2,10,3931.74,0.23025900000000002,0.895267
bank_procd,2,12,3619.88,0.236231,0.889294
bank_procd,2,14,3430.36,0.238885,0.88664
bank_procd,2,16,3336.63,0.23722600000000002,0.888299
bank_procd,2,18,3283.18,0.23700500000000002,0.8885200000000001
