dataset,delayed,depth,impurity,relerror,accuracy
breast_cancer,1,1,57.7577,0.5398229999999999,0.867257
breast_cancer,1,2,30.2164,0.5398229999999999,0.867257
breast_cancer,1,3,28.5658,0.5398229999999999,0.867257
breast_cancer,1,4,25.2525,0.548673,0.8584069999999999
breast_cancer,1,5,25.2525,0.548673,0.8584069999999999
breast_cancer,1,6,25.2525,0.548673,0.8584069999999999
breast_cancer,1,1,70.3469,0.45132700000000003,0.938053
breast_cancer,1,2,44.5012,0.424779,0.9646020000000001
breast_cancer,1,3,33.4534,0.424779,0.9646020000000001
breast_cancer,1,4,31.1128,0.424779,0.9646020000000001
breast_cancer,1,5,28.6274,0.424779,0.9646020000000001
breast_cancer,1,6,28.6118,0.424779,0.9646020000000001
breast_cancer,1,1,60.5856,0.43362799999999996,0.884956
breast_cancer,1,2,36.9278,0.380531,0.938053
breast_cancer,1,3,28.3874,0.39823000000000003,0.9203540000000001
breast_cancer,1,4,27.9513,0.39823000000000003,0.9203540000000001
breast_cancer,1,5,27.9155,0.39823000000000003,0.9203540000000001
breast_cancer,1,6,27.9155,0.39823000000000003,0.9203540000000001
breast_cancer,1,1,55.5499,0.584071,0.849558
breast_cancer,1,2,30.3316,0.5398229999999999,0.893805
breast_cancer,1,3,28.1572,0.5398229999999999,0.893805
breast_cancer,1,4,25.1377,0.548673,0.884956
breast_cancer,1,5,24.8881,0.548673,0.884956
breast_cancer,1,6,24.8881,0.548673,0.884956
breast_cancer,1,1,65.0857,0.424779,0.884956
breast_cancer,1,2,39.4828,0.380531,0.9292040000000001
breast_cancer,1,3,28.459,0.380531,0.9292040000000001
breast_cancer,1,4,26.051,0.380531,0.9292040000000001
breast_cancer,1,5,26.0029,0.380531,0.9292040000000001
breast_cancer,1,6,26.0029,0.380531,0.9292040000000001
breast_cancer,0,1,53.76,0.548673,0.8584069999999999
breast_cancer,0,2,29.3978,0.522124,0.884956
breast_cancer,0,3,26.0144,0.522124,0.884956
breast_cancer,0,4,18.3043,0.513274,0.893805
breast_cancer,0,5,18.2685,0.513274,0.893805
breast_cancer,0,6,18.2685,0.513274,0.893805
breast_cancer,0,1,66.8671,0.48672600000000005,0.9026549999999999
breast_cancer,0,2,39.9357,0.442478,0.946903
breast_cancer,0,3,27.7719,0.43362799999999996,0.955752
breast_cancer,0,4,27.4693,0.43362799999999996,0.955752
breast_cancer,0,5,27.3522,0.43362799999999996,0.955752
breast_cancer,0,6,27.3522,0.43362799999999996,0.955752
breast_cancer,0,1,60.5856,0.43362799999999996,0.884956
breast_cancer,0,2,36.9278,0.380531,0.938053
breast_cancer,0,3,27.8115,0.39823000000000003,0.9203540000000001
breast_cancer,0,4,27.5643,0.39823000000000003,0.9203540000000001
breast_cancer,0,5,27.3026,0.39823000000000003,0.9203540000000001
breast_cancer,0,6,27.2655,0.39823000000000003,0.9203540000000001
breast_cancer,0,1,54.195,0.566372,0.867257
breast_cancer,0,2,30.4426,0.522124,0.9115040000000001
breast_cancer,0,3,19.7506,0.513274,0.9203540000000001
breast_cancer,0,4,19.588,0.513274,0.9203540000000001
breast_cancer,0,5,19.588,0.513274,0.9203540000000001
breast_cancer,0,6,19.588,0.513274,0.9203540000000001
breast_cancer,0,1,63.9629,0.40708,0.9026549999999999
breast_cancer,0,2,35.0648,0.380531,0.9292040000000001
breast_cancer,0,3,31.5941,0.380531,0.9292040000000001
breast_cancer,0,4,26.2518,0.380531,0.9292040000000001
breast_cancer,0,5,25.6162,0.380531,0.9292040000000001
breast_cancer,0,6,25.6162,0.380531,0.9292040000000001
