dataset,delayed,depth,impurity,relerror,accuracy
breast_cancer_procd,3,1,0,1,1
breast_cancer_procd,3,2,0,1,1
breast_cancer_procd,3,3,0,1,1
breast_cancer_procd,3,4,0,1,1
breast_cancer_procd,3,5,0,1,1
breast_cancer_procd,3,6,0,1,1
breast_cancer_procd,3,1,0,1,1
breast_cancer_procd,3,2,0,1,1
breast_cancer_procd,3,3,0,1,1
breast_cancer_procd,3,4,0,1,1
breast_cancer_procd,3,5,0,1,1
breast_cancer_procd,3,6,0,1,1
breast_cancer_procd,3,1,0,1,1
breast_cancer_procd,3,2,0,1,1
breast_cancer_procd,3,3,0,1,1
breast_cancer_procd,3,4,0,1,1
breast_cancer_procd,3,5,0,1,1
breast_cancer_procd,3,6,0,1,1
breast_cancer_procd,3,1,0,1,1
breast_cancer_procd,3,2,0,1,1
breast_cancer_procd,3,3,0,1,1
breast_cancer_procd,3,4,0,1,1
breast_cancer_procd,3,5,0,1,1
breast_cancer_procd,3,6,0,1,1
breast_cancer_procd,3,1,0,1,1
breast_cancer_procd,3,2,0,1,1
breast_cancer_procd,3,3,0,1,1
breast_cancer_procd,3,4,0,1,1
breast_cancer_procd,3,5,0,1,1
breast_cancer_procd,3,6,0,1,1
breast_cancer_procd,2,1,0,1,1
breast_cancer_procd,2,2,0,1,1
breast_cancer_procd,2,3,0,1,1
breast_cancer_procd,2,4,0,1,1
breast_cancer_procd,2,5,0,1,1
breast_cancer_procd,2,6,0,1,1
breast_cancer_procd,2,1,0,1,1
breast_cancer_procd,2,2,0,1,1
breast_cancer_procd,2,3,0,1,1
breast_cancer_procd,2,4,0,1,1
breast_cancer_procd,2,5,0,1,1
breast_cancer_procd,2,6,0,1,1
breast_cancer_procd,2,1,0,1,1
breast_cancer_procd,2,2,0,1,1
breast_cancer_procd,2,3,0,1,1
breast_cancer_procd,2,4,0,1,1
breast_cancer_procd,2,5,0,1,1
breast_cancer_procd,2,6,0,1,1
breast_cancer_procd,2,1,0,1,1
breast_cancer_procd,2,2,0,1,1
breast_cancer_procd,2,3,0,1,1
breast_cancer_procd,2,4,0,1,1
breast_cancer_procd,2,5,0,1,1
breast_cancer_procd,2,6,0,1,1
breast_cancer_procd,2,1,0,1,1
breast_cancer_procd,2,2,0,1,1
breast_cancer_procd,2,3,0,1,1
breast_cancer_procd,2,4,0,1,1
breast_cancer_procd,2,5,0,1,1
breast_cancer_procd,2,6,0,1,1
