dataset,delayed,depth,impurity,relerror,accuracy
clinvar_conflicting_procd,1,6,16477.2,0.49045,0.755005
clinvar_conflicting_procd,1,8,15851.8,0.49014300000000005,0.755312
clinvar_conflicting_procd,1,10,14970.4,0.510854,0.7346020000000001
clinvar_conflicting_procd,1,12,13992.3,0.521746,0.723709
clinvar_conflicting_procd,1,14,12985.2,0.529646,0.715809
clinvar_conflicting_procd,1,16,12135.0,0.540845,0.7046100000000001
clinvar_conflicting_procd,1,18,11498.0,0.542149,0.703306
clinvar_conflicting_procd,1,6,16637.6,0.5118510000000001,0.737823
clinvar_conflicting_procd,1,8,15990.7,0.49835100000000004,0.751323
clinvar_conflicting_procd,1,10,15103.2,0.501803,0.747871
clinvar_conflicting_procd,1,12,14156.9,0.504564,0.74511
clinvar_conflicting_procd,1,14,13227.5,0.503183,0.746491
clinvar_conflicting_procd,1,16,12355.2,0.505484,0.74419
clinvar_conflicting_procd,1,18,11593.9,0.5043340000000001,0.74534
clinvar_conflicting_procd,1,6,16616.1,0.499885,0.752474
clinvar_conflicting_procd,1,8,15973.5,0.494899,0.75746
clinvar_conflicting_procd,1,10,15112.3,0.493749,0.75861
clinvar_conflicting_procd,1,12,14078.2,0.49743000000000004,0.7549279999999999
clinvar_conflicting_procd,1,14,13061.8,0.501726,0.750633
clinvar_conflicting_procd,1,16,12117.6,0.50395,0.748408
clinvar_conflicting_procd,1,18,11431.6,0.507709,0.74465
clinvar_conflicting_procd,1,6,16647.2,0.505945,0.746414
clinvar_conflicting_procd,1,8,16013.2,0.499041,0.753317
clinvar_conflicting_procd,1,10,15118.6,0.500115,0.7522439999999999
clinvar_conflicting_procd,1,12,14101.0,0.504104,0.748255
clinvar_conflicting_procd,1,14,12949.2,0.50326,0.749099
clinvar_conflicting_procd,1,16,12014.6,0.5089359999999999,0.743423
clinvar_conflicting_procd,1,18,11440.1,0.512541,0.7398170000000001
clinvar_conflicting_procd,1,6,16580.8,0.507325,0.746031
clinvar_conflicting_procd,1,8,15908.2,0.49881099999999995,0.754545
clinvar_conflicting_procd,1,10,15020.5,0.498197,0.755158
clinvar_conflicting_procd,1,12,14013.5,0.505254,0.748102
clinvar_conflicting_procd,1,14,13003.0,0.50303,0.750326
clinvar_conflicting_procd,1,16,12107.7,0.5060979999999999,0.747258
clinvar_conflicting_procd,1,18,11440.1,0.506328,0.747028
clinvar_conflicting_procd,0,6,16792.7,0.507402,0.738053
clinvar_conflicting_procd,0,8,16143.1,0.496126,0.749329
clinvar_conflicting_procd,0,10,15375.1,0.498504,0.746951
clinvar_conflicting_procd,0,12,14483.9,0.510163,0.7352920000000001
clinvar_conflicting_procd,0,14,13515.4,0.522896,0.7225590000000001
clinvar_conflicting_procd,0,16,12608.9,0.5274989999999999,0.717957
clinvar_conflicting_procd,0,18,11919.2,0.553962,0.691493
clinvar_conflicting_procd,0,6,16727.3,0.510777,0.738897
clinvar_conflicting_procd,0,8,16144.4,0.498658,0.751016
clinvar_conflicting_procd,0,10,15403.3,0.501342,0.748332
clinvar_conflicting_procd,0,12,14503.0,0.498121,0.751553
clinvar_conflicting_procd,0,14,13460.6,0.501112,0.748562
clinvar_conflicting_procd,0,16,12619.8,0.5066350000000001,0.743039
clinvar_conflicting_procd,0,18,11812.4,0.507479,0.7421949999999999
clinvar_conflicting_procd,0,6,16770.5,0.505484,0.7468739999999999
clinvar_conflicting_procd,0,8,16213.1,0.49597299999999994,0.756386
clinvar_conflicting_procd,0,10,15401.9,0.49520600000000004,0.757153
clinvar_conflicting_procd,0,12,14474.0,0.497967,0.754391
clinvar_conflicting_procd,0,14,13453.7,0.502263,0.750096
clinvar_conflicting_procd,0,16,12477.1,0.503567,0.748792
clinvar_conflicting_procd,0,18,11772.9,0.5116970000000001,0.740661
clinvar_conflicting_procd,0,6,16730.9,0.507095,0.745263
clinvar_conflicting_procd,0,8,16122.4,0.496433,0.755925
clinvar_conflicting_procd,0,10,15348.6,0.497277,0.7550819999999999
clinvar_conflicting_procd,0,12,14426.1,0.498428,0.753931
clinvar_conflicting_procd,0,14,13492.4,0.505254,0.747104
clinvar_conflicting_procd,0,16,12654.5,0.509703,0.7426560000000001
clinvar_conflicting_procd,0,18,11934.5,0.514459,0.7379
clinvar_conflicting_procd,0,6,16747.6,0.507479,0.745877
clinvar_conflicting_procd,0,8,16104.5,0.497891,0.7554649999999999
clinvar_conflicting_procd,0,10,15305.9,0.500192,0.7531640000000001
clinvar_conflicting_procd,0,12,14392.5,0.500959,0.752397
clinvar_conflicting_procd,0,14,13429.1,0.49957799999999997,0.753778
clinvar_conflicting_procd,0,16,12514.3,0.505868,0.747488
clinvar_conflicting_procd,0,18,11876.1,0.509473,0.743883
