dataset,delayed,depth,impurity,relerror,accuracy
ecoli_procd,1,1,138.907,3.19403,0.656716
ecoli_procd,1,2,82.4118,2.83582,0.7313430000000001
ecoli_procd,1,3,66.2456,2.89552,0.716418
ecoli_procd,1,4,59.2897,2.92537,0.701493
ecoli_procd,1,5,57.3156,2.92537,0.701493
ecoli_procd,1,6,57.2261,2.92537,0.701493
ecoli_procd,1,1,135.881,3.1791,0.597015
ecoli_procd,1,2,79.2454,2.79104,0.746269
ecoli_procd,1,3,65.8234,2.8209,0.7313430000000001
ecoli_procd,1,4,59.8471,2.8209,0.7313430000000001
ecoli_procd,1,5,56.722,2.8209,0.7313430000000001
ecoli_procd,1,6,56.6988,2.8209,0.7313430000000001
ecoli_procd,1,1,138.039,3.37313,0.626866
ecoli_procd,1,2,77.0546,3.13433,0.701493
ecoli_procd,1,3,62.6536,3.04478,0.746269
ecoli_procd,1,4,58.5083,3.10448,0.716418
ecoli_procd,1,5,57.6317,3.10448,0.716418
ecoli_procd,1,6,57.6317,3.10448,0.716418
ecoli_procd,1,1,140.306,2.95522,0.686567
ecoli_procd,1,2,82.6565,2.68657,0.746269
ecoli_procd,1,3,67.7685,2.5373099999999997,0.791045
ecoli_procd,1,4,57.3248,2.50746,0.776119
ecoli_procd,1,5,56.4056,2.50746,0.776119
ecoli_procd,1,6,55.7931,2.50746,0.776119
ecoli_procd,1,1,143.14,2.9403,0.716418
ecoli_procd,1,2,97.8722,2.7313400000000003,0.776119
ecoli_procd,1,3,72.1806,2.70149,0.7611939999999999
ecoli_procd,1,4,67.8374,2.70149,0.7611939999999999
ecoli_procd,1,5,65.7145,2.70149,0.7611939999999999
ecoli_procd,1,6,65.7145,2.70149,0.7611939999999999
ecoli_procd,0,1,138.907,3.19403,0.656716
ecoli_procd,0,2,82.4118,2.83582,0.7313430000000001
ecoli_procd,0,3,65.9001,2.77612,0.791045
ecoli_procd,0,4,58.6785,2.86567,0.7313430000000001
ecoli_procd,0,5,58.3118,2.86567,0.7313430000000001
ecoli_procd,0,6,57.6021,2.86567,0.7313430000000001
ecoli_procd,0,1,135.881,3.1791,0.597015
ecoli_procd,0,2,79.2454,2.79104,0.746269
ecoli_procd,0,3,65.8234,2.8209,0.7313430000000001
ecoli_procd,0,4,59.8471,2.8209,0.7313430000000001
ecoli_procd,0,5,56.722,2.8209,0.7313430000000001
ecoli_procd,0,6,56.6988,2.8209,0.7313430000000001
ecoli_procd,0,1,138.039,3.37313,0.626866
ecoli_procd,0,2,77.0546,3.13433,0.701493
ecoli_procd,0,3,62.6536,3.04478,0.746269
ecoli_procd,0,4,58.5007,3.10448,0.716418
ecoli_procd,0,5,57.6317,3.10448,0.716418
ecoli_procd,0,6,57.6317,3.10448,0.716418
ecoli_procd,0,1,140.306,2.95522,0.686567
ecoli_procd,0,2,82.1217,2.68657,0.716418
ecoli_procd,0,3,69.8634,2.59701,0.80597
ecoli_procd,0,4,64.0668,2.65672,0.7313430000000001
ecoli_procd,0,5,56.3895,2.56716,0.776119
ecoli_procd,0,6,56.3895,2.56716,0.776119
ecoli_procd,0,1,143.14,2.9403,0.716418
ecoli_procd,0,2,96.8832,2.7313400000000003,0.776119
ecoli_procd,0,3,85.8683,2.7313400000000003,0.7611939999999999
ecoli_procd,0,4,74.7791,2.8806,0.686567
ecoli_procd,0,5,71.5064,2.8806,0.686567
ecoli_procd,0,6,71.3883,2.8806,0.686567
