dataset,delayed,depth,impurity,relerror,accuracy
employee_attrition_procd,1,1,296.967,0.336735,0.8231290000000001
employee_attrition_procd,1,2,277.33,0.336735,0.8231290000000001
employee_attrition_procd,1,3,261.611,0.329932,0.829932
employee_attrition_procd,1,4,241.513,0.306122,0.853741
employee_attrition_procd,1,5,221.118,0.29591799999999996,0.8639459999999999
employee_attrition_procd,1,6,209.37099999999998,0.312925,0.8469389999999999
employee_attrition_procd,1,1,309.372,0.28571399999999997,0.857143
employee_attrition_procd,1,2,282.44599999999997,0.27551,0.867347
employee_attrition_procd,1,3,265.251,0.272109,0.870748
employee_attrition_procd,1,4,243.52700000000002,0.289116,0.853741
employee_attrition_procd,1,5,221.217,0.289116,0.853741
employee_attrition_procd,1,6,202.761,0.306122,0.836735
employee_attrition_procd,1,1,292.596,0.36054400000000003,0.819728
employee_attrition_procd,1,2,262.343,0.37415,0.806122
employee_attrition_procd,1,3,248.25900000000001,0.357143,0.8231290000000001
employee_attrition_procd,1,4,221.995,0.380952,0.79932
employee_attrition_procd,1,5,202.503,0.408163,0.772109
employee_attrition_procd,1,6,196.643,0.408163,0.772109
employee_attrition_procd,1,1,306.664,0.29932,0.8401360000000001
employee_attrition_procd,1,2,289.187,0.292517,0.8469389999999999
employee_attrition_procd,1,3,266.087,0.28571399999999997,0.853741
employee_attrition_procd,1,4,247.08900000000003,0.289116,0.85034
employee_attrition_procd,1,5,222.707,0.302721,0.836735
employee_attrition_procd,1,6,208.80700000000002,0.28571399999999997,0.853741
employee_attrition_procd,1,1,297.01099999999997,0.346939,0.8265309999999999
employee_attrition_procd,1,2,281.564,0.346939,0.8265309999999999
employee_attrition_procd,1,3,262.053,0.329932,0.8435370000000001
employee_attrition_procd,1,4,239.415,0.336735,0.836735
employee_attrition_procd,1,5,213.053,0.35034,0.8231290000000001
employee_attrition_procd,1,6,192.31400000000002,0.343537,0.829932
employee_attrition_procd,0,1,296.967,0.336735,0.8231290000000001
employee_attrition_procd,0,2,277.33,0.336735,0.8231290000000001
employee_attrition_procd,0,3,258.70099999999996,0.323129,0.836735
employee_attrition_procd,0,4,237.734,0.30952399999999997,0.85034
employee_attrition_procd,0,5,213.91099999999997,0.326531,0.833333
employee_attrition_procd,0,6,197.812,0.316327,0.8435370000000001
employee_attrition_procd,0,1,305.297,0.28571399999999997,0.857143
employee_attrition_procd,0,2,274.425,0.292517,0.85034
employee_attrition_procd,0,3,250.28599999999997,0.302721,0.8401360000000001
employee_attrition_procd,0,4,221.583,0.326531,0.816327
employee_attrition_procd,0,5,197.986,0.29932,0.8435370000000001
employee_attrition_procd,0,6,188.203,0.29932,0.8435370000000001
employee_attrition_procd,0,1,290.161,0.36054400000000003,0.819728
employee_attrition_procd,0,2,271.67400000000004,0.363946,0.816327
employee_attrition_procd,0,3,245.09599999999998,0.380952,0.79932
employee_attrition_procd,0,4,224.56,0.384354,0.795918
employee_attrition_procd,0,5,200.524,0.370748,0.809524
employee_attrition_procd,0,6,186.253,0.384354,0.795918
employee_attrition_procd,0,1,306.664,0.29932,0.8401360000000001
employee_attrition_procd,0,2,287.346,0.28231300000000004,0.857143
employee_attrition_procd,0,3,263.221,0.28231300000000004,0.857143
employee_attrition_procd,0,4,242.429,0.27551,0.8639459999999999
employee_attrition_procd,0,5,218.899,0.29591799999999996,0.8435370000000001
employee_attrition_procd,0,6,200.41,0.316327,0.8231290000000001
employee_attrition_procd,0,1,296.844,0.346939,0.8265309999999999
employee_attrition_procd,0,2,269.184,0.323129,0.85034
employee_attrition_procd,0,3,250.04,0.323129,0.85034
employee_attrition_procd,0,4,223.442,0.323129,0.85034
employee_attrition_procd,0,5,202.953,0.333333,0.8401360000000001
employee_attrition_procd,0,6,190.265,0.333333,0.8401360000000001
