dataset,delayed,depth,impurity,relerror,accuracy
glass_class,1,1,110.08,3.8571400000000002,0.428571
glass_class,1,2,94.3064,3.5714300000000003,0.595238
glass_class,1,3,79.0374,3.5,0.571429
glass_class,1,4,71.4169,3.5,0.571429
glass_class,1,5,61.7258,3.4285699999999997,0.642857
glass_class,1,6,60.9658,3.4285699999999997,0.642857
glass_class,1,1,107.818,4.16667,0.333333
glass_class,1,2,93.0687,4.09524,0.642857
glass_class,1,3,78.2302,4.02381,0.642857
glass_class,1,4,70.1007,4.02381,0.642857
glass_class,1,5,60.6217,3.9761900000000003,0.642857
glass_class,1,6,57.1633,3.9761900000000003,0.642857
glass_class,1,1,108.852,4.40476,0.404762
glass_class,1,2,86.1809,3.4761900000000003,0.6190479999999999
glass_class,1,3,73.306,3.4285699999999997,0.642857
glass_class,1,4,63.4287,3.40476,0.642857
glass_class,1,5,57.7843,3.3095199999999996,0.690476
glass_class,1,6,57.6275,3.3095199999999996,0.690476
glass_class,1,1,107.697,4.57143,0.380952
glass_class,1,2,89.5526,4.2619,0.5
glass_class,1,3,75.0242,4.09524,0.571429
glass_class,1,4,67.2391,3.90476,0.6190479999999999
glass_class,1,5,54.3563,3.78571,0.690476
glass_class,1,6,53.7762,3.78571,0.690476
glass_class,1,1,107.51899999999999,4.19048,0.404762
glass_class,1,2,91.8807,3.8571400000000002,0.547619
glass_class,1,3,80.7526,3.6904800000000004,0.571429
glass_class,1,4,74.936,3.6904800000000004,0.571429
glass_class,1,5,63.2464,3.6428599999999998,0.6190479999999999
glass_class,1,6,61.6906,3.6428599999999998,0.6190479999999999
glass_class,0,1,107.193,3.2381,0.5
glass_class,0,2,95.6389,3.09524,0.714286
glass_class,0,3,78.4959,2.9761900000000003,0.761905
glass_class,0,4,71.6425,2.92857,0.785714
glass_class,0,5,67.1132,2.92857,0.785714
glass_class,0,6,59.617,2.88095,0.833333
glass_class,0,1,103.344,4.19048,0.357143
glass_class,0,2,90.7661,4.07143,0.6190479999999999
glass_class,0,3,74.4755,3.7619,0.690476
glass_class,0,4,68.4602,3.66667,0.714286
glass_class,0,5,63.0657,3.66667,0.714286
glass_class,0,6,52.7594,3.7381,0.642857
glass_class,0,1,105.50200000000001,3.5714300000000003,0.404762
glass_class,0,2,90.7873,3.5476199999999998,0.571429
glass_class,0,3,72.9018,3.40476,0.642857
glass_class,0,4,67.8894,3.3095199999999996,0.690476
glass_class,0,5,62.5544,3.33333,0.642857
glass_class,0,6,61.0128,3.33333,0.642857
glass_class,0,1,103.87799999999999,4.047619999999999,0.47618999999999995
glass_class,0,2,90.7913,4.02381,0.595238
glass_class,0,3,75.6937,3.7381,0.666667
glass_class,0,4,68.4194,3.7381,0.666667
glass_class,0,5,63.2785,3.7619,0.642857
glass_class,0,6,61.1479,3.7619,0.642857
glass_class,0,1,104.663,3.6904800000000004,0.404762
glass_class,0,2,93.4645,3.5714300000000003,0.642857
glass_class,0,3,75.8386,3.38095,0.690476
glass_class,0,4,67.9758,3.40476,0.666667
glass_class,0,5,63.0697,3.3571400000000002,0.666667
glass_class,0,6,59.8735,3.3571400000000002,0.666667
