dataset,delayed,depth,impurity,relerror,accuracy
hardware_procd,3,1,139.006,30.6585,0.0
hardware_procd,3,2,113.156,30.2195,0.0
hardware_procd,3,3,102.978,30.2195,0.0
hardware_procd,3,4,88.7124,30.2195,0.0
hardware_procd,3,5,84.4333,30.2195,0.0
hardware_procd,3,6,79.7663,30.2195,0.0
hardware_procd,3,1,151.74,23.0,0.121951
hardware_procd,3,2,133.85399999999998,22.3659,0.317073
hardware_procd,3,3,116.749,22.3171,0.195122
hardware_procd,3,4,107.93,21.5854,0.365854
hardware_procd,3,5,98.4998,21.9268,0.365854
hardware_procd,3,6,93.8866,21.0244,0.390244
hardware_procd,3,1,146.49,20.6585,0.195122
hardware_procd,3,2,126.781,19.9756,0.268293
hardware_procd,3,3,111.29,19.7561,0.243902
hardware_procd,3,4,95.9827,19.4634,0.29268299999999997
hardware_procd,3,5,90.5316,19.3659,0.317073
hardware_procd,3,6,82.816,18.7805,0.365854
hardware_procd,3,1,147.149,21.9756,0.146341
hardware_procd,3,2,134.047,20.9756,0.146341
hardware_procd,3,3,125.198,19.4634,0.268293
hardware_procd,3,4,111.515,19.9756,0.268293
hardware_procd,3,5,99.1785,19.0488,0.341463
hardware_procd,3,6,92.1071,18.9024,0.43902399999999997
hardware_procd,3,1,148.605,20.8049,0.29268299999999997
hardware_procd,3,2,130.49,18.9024,0.317073
hardware_procd,3,3,118.10700000000001,18.9268,0.414634
hardware_procd,3,4,107.064,18.878,0.43902399999999997
hardware_procd,3,5,102.322,18.6585,0.390244
hardware_procd,3,6,91.4297,18.1463,0.414634
hardware_procd,2,1,139.006,30.6585,0.0
hardware_procd,2,2,113.156,30.2195,0.0
hardware_procd,2,3,102.978,30.2195,0.0
hardware_procd,2,4,88.7124,30.2195,0.0
hardware_procd,2,5,83.9494,30.2195,0.0
hardware_procd,2,6,73.7374,30.2195,0.0
hardware_procd,2,1,151.74,23.0,0.121951
hardware_procd,2,2,133.85399999999998,22.3659,0.317073
hardware_procd,2,3,116.749,22.3171,0.195122
hardware_procd,2,4,107.93,21.5854,0.365854
hardware_procd,2,5,98.4998,21.9268,0.365854
hardware_procd,2,6,93.8866,21.0244,0.390244
hardware_procd,2,1,146.49,20.6585,0.195122
hardware_procd,2,2,126.781,19.9756,0.268293
hardware_procd,2,3,111.29,19.7561,0.243902
hardware_procd,2,4,95.9827,19.4634,0.29268299999999997
hardware_procd,2,5,90.5316,19.3659,0.317073
hardware_procd,2,6,82.816,18.7805,0.365854
hardware_procd,2,1,147.149,21.9756,0.146341
hardware_procd,2,2,134.047,20.9756,0.146341
hardware_procd,2,3,125.235,20.122,0.243902
hardware_procd,2,4,105.52799999999999,19.1951,0.317073
hardware_procd,2,5,101.34299999999999,19.5366,0.341463
hardware_procd,2,6,94.2717,19.3902,0.43902399999999997
hardware_procd,2,1,148.605,20.8049,0.29268299999999997
hardware_procd,2,2,130.49,18.9024,0.317073
hardware_procd,2,3,118.10700000000001,18.9268,0.414634
hardware_procd,2,4,107.064,18.878,0.43902399999999997
hardware_procd,2,5,102.322,18.6585,0.390244
hardware_procd,2,6,91.4297,18.1463,0.414634
