dataset,delayed,depth,impurity,relerror,accuracy
hmnist_28_28_L,1,6,3467.36,4.21568,0.637544
hmnist_28_28_L,1,8,3048.03,4.32501,0.588118
hmnist_28_28_L,1,10,2685.9,4.47928,0.513729
hmnist_28_28_L,1,12,2515.2,4.510730000000001,0.499251
hmnist_28_28_L,1,14,2393.36,4.5337,0.48726899999999995
hmnist_28_28_L,1,16,2307.51,4.55267,0.48177700000000007
hmnist_28_28_L,1,18,2279.64,4.5566699999999996,0.479281
hmnist_28_28_L,1,6,3427.22,4.48128,0.678982
hmnist_28_28_L,1,8,3093.45,4.55267,0.6540189999999999
hmnist_28_28_L,1,10,2754.28,4.58562,0.6435350000000001
hmnist_28_28_L,1,12,2559.41,4.5761400000000005,0.641538
hmnist_28_28_L,1,14,2434.59,4.589119999999999,0.636545
hmnist_28_28_L,1,16,2373.77,4.5971,0.63305
hmnist_28_28_L,1,18,2331.91,4.61108,0.628058
hmnist_28_28_L,1,6,3397.91,4.47529,0.675487
hmnist_28_28_L,1,8,3044.86,4.54568,0.66001
hmnist_28_28_L,1,10,2700.75,4.58462,0.645532
hmnist_28_28_L,1,12,2492.71,4.60659,0.6370439999999999
hmnist_28_28_L,1,14,2375.72,4.61857,0.634049
hmnist_28_28_L,1,16,2315.26,4.62706,0.6285569999999999
hmnist_28_28_L,1,18,2294.43,4.63005,0.627059
hmnist_28_28_L,1,6,3401.58,4.49326,0.6665
hmnist_28_28_L,1,8,2992.36,4.5237099999999995,0.649526
hmnist_28_28_L,1,10,2614.47,4.57314,0.6370439999999999
hmnist_28_28_L,1,12,2397.7,4.5961099999999995,0.6240640000000001
hmnist_28_28_L,1,14,2340.26,4.60859,0.619571
hmnist_28_28_L,1,16,2324.24,4.610580000000001,0.618073
hmnist_28_28_L,1,18,2309.87,4.61258,0.617574
hmnist_28_28_L,1,6,3436.05,4.43235,0.695457
hmnist_28_28_L,1,8,3025.12,4.49875,0.674988
hmnist_28_28_L,1,10,2676.77,4.5362,0.658013
hmnist_28_28_L,1,12,2512.69,4.56515,0.647529
hmnist_28_28_L,1,14,2419.06,4.57214,0.6435350000000001
hmnist_28_28_L,1,16,2367.97,4.57713,0.642037
hmnist_28_28_L,1,18,2331.47,4.58562,0.638043
hmnist_28_28_L,0,6,3410.91,4.23565,0.625062
hmnist_28_28_L,0,8,2994.17,4.35647,0.577134
hmnist_28_28_L,0,10,2614.92,4.553669999999999,0.489266
hmnist_28_28_L,0,12,2357.22,4.61308,0.465801
hmnist_28_28_L,0,14,2195.59,4.64803,0.443834
hmnist_28_28_L,0,16,2111.93,4.67099,0.43434799999999996
hmnist_28_28_L,0,18,2078.98,4.6635,0.43734399999999996
hmnist_28_28_L,0,6,3372.56,4.4608099999999995,0.682976
hmnist_28_28_L,0,8,3037.19,4.51523,0.669995
hmnist_28_28_L,0,10,2684.64,4.52771,0.6650020000000001
hmnist_28_28_L,0,12,2438.96,4.55716,0.654518
hmnist_28_28_L,0,14,2315.24,4.57664,0.645532
hmnist_28_28_L,0,16,2264.88,4.58063,0.644034
hmnist_28_28_L,0,18,2218.59,4.59561,0.637544
hmnist_28_28_L,0,6,3380.39,4.476780000000001,0.6784819999999999
hmnist_28_28_L,0,8,2976.63,4.52671,0.661008
hmnist_28_28_L,0,10,2583.78,4.55766,0.652022
hmnist_28_28_L,0,12,2365.79,4.58063,0.6405390000000001
hmnist_28_28_L,0,14,2221.91,4.60809,0.629556
hmnist_28_28_L,0,16,2159.55,4.61508,0.625562
hmnist_28_28_L,0,18,2133.45,4.61408,0.626061
hmnist_28_28_L,0,6,3362.12,4.48228,0.6665
hmnist_28_28_L,0,8,3002.16,4.5347,0.655017
hmnist_28_28_L,0,10,2668.48,4.610580000000001,0.6235649999999999
hmnist_28_28_L,0,12,2415.97,4.63704,0.619571
hmnist_28_28_L,0,14,2281.91,4.65302,0.611083
hmnist_28_28_L,0,16,2207.64,4.67948,0.602097
hmnist_28_28_L,0,18,2154.31,4.68347,0.599101
hmnist_28_28_L,0,6,3386.35,4.4693,0.683974
hmnist_28_28_L,0,8,2952.05,4.49076,0.665502
hmnist_28_28_L,0,10,2631.36,4.5342,0.652022
hmnist_28_28_L,0,12,2377.74,4.54418,0.6485270000000001
hmnist_28_28_L,0,14,2242.46,4.5606599999999995,0.642536
hmnist_28_28_L,0,16,2191.71,4.56965,0.639041
hmnist_28_28_L,0,18,2160.56,4.57713,0.6370439999999999
