dataset,delayed,depth,impurity,relerror,accuracy
kc_house_data_procd,3,6,596629000000000.0,688893.0,121318.0
kc_house_data_procd,3,8,430934000000000.0,672360.0,104784.0
kc_house_data_procd,3,10,324534000000000.0,664521.0,96945.3
kc_house_data_procd,3,12,274181000000000.0,661177.0,93601.6
kc_house_data_procd,3,14,251557000000000.0,661150.0,93574.6
kc_house_data_procd,3,16,241254000000000.0,661854.0,94278.6
kc_house_data_procd,3,18,238753000000000.0,661703.0,94127.4
kc_house_data_procd,3,6,595318000000000.0,641943.0,106679.0
kc_house_data_procd,3,8,425171000000000.0,629601.0,94337.1
kc_house_data_procd,3,10,328079000000000.0,623263.0,87999.0
kc_house_data_procd,3,12,282780000000000.0,621233.0,85968.9
kc_house_data_procd,3,14,261374000000000.0,621863.0,86598.9
kc_house_data_procd,3,16,251193000000000.0,622960.0,87695.9
kc_house_data_procd,3,18,247335000000000.0,623852.0,88587.3
kc_house_data_procd,3,6,587455000000000.0,653139.0,113862.0
kc_house_data_procd,3,8,419424000000000.0,639240.0,99963.0
kc_house_data_procd,3,10,327885000000000.0,631251.0,91973.5
kc_house_data_procd,3,12,274037000000000.0,627781.0,88503.6
kc_house_data_procd,3,14,250860000000000.0,626696.0,87418.9
kc_house_data_procd,3,16,238880000000000.0,627135.0,87857.6
kc_house_data_procd,3,18,234418000000000.0,627473.0,88195.4
kc_house_data_procd,3,6,608591000000000.0,653462.0,113490.0
kc_house_data_procd,3,8,436163000000000.0,640105.0,100133.0
kc_house_data_procd,3,10,346801000000000.0,632799.0,92827.7
kc_house_data_procd,3,12,294191000000000.0,628266.0,88294.0
kc_house_data_procd,3,14,270982000000000.0,627586.0,87614.9
kc_house_data_procd,3,16,261494000000000.0,627299.0,87327.2
kc_house_data_procd,3,18,256602000000000.0,628102.0,88130.1
kc_house_data_procd,3,6,642610000000000.0,669554.0,120322.0
kc_house_data_procd,3,8,452293000000000.0,657766.0,108533.0
kc_house_data_procd,3,10,332822000000000.0,647957.0,98724.2
kc_house_data_procd,3,12,283347000000000.0,644508.0,95275.7
kc_house_data_procd,3,14,260730000000000.0,644893.0,95660.5
kc_house_data_procd,3,16,252462000000000.0,645486.0,96253.7
kc_house_data_procd,3,18,249805000000000.0,645765.0,96531.8
kc_house_data_procd,2,6,566585000000000.0,684987.0,117412.0
kc_house_data_procd,2,8,397599000000000.0,670040.0,102464.0
kc_house_data_procd,2,10,298406000000000.0,663475.0,95899.4
kc_house_data_procd,2,12,256207000000000.0,661829.0,94253.7
kc_house_data_procd,2,14,241090000000000.0,661704.0,94128.8
kc_house_data_procd,2,16,235381000000000.0,662189.0,94613.3
kc_house_data_procd,2,18,233636000000000.0,662036.0,94460.6
kc_house_data_procd,2,6,559056000000000.0,637899.0,102635.0
kc_house_data_procd,2,8,403089000000000.0,627718.0,92454.0
kc_house_data_procd,2,10,312204000000000.0,621378.0,86113.8
kc_house_data_procd,2,12,265645000000000.0,618949.0,83684.7
kc_house_data_procd,2,14,247860000000000.0,619834.0,84570.1
kc_house_data_procd,2,16,242005000000000.0,619901.0,84636.3
kc_house_data_procd,2,18,239951000000000.0,620289.0,85024.3
kc_house_data_procd,2,6,542189000000000.0,648442.0,109165.0
kc_house_data_procd,2,8,397593000000000.0,638184.0,98906.5
kc_house_data_procd,2,10,298682000000000.0,630886.0,91608.6
kc_house_data_procd,2,12,249270000000000.0,627863.0,88586.4
kc_house_data_procd,2,14,231147000000000.0,628416.0,89139.2
kc_house_data_procd,2,16,224796000000000.0,628913.0,89635.7
kc_house_data_procd,2,18,222566000000000.0,629302.0,90024.9
kc_house_data_procd,2,6,551937000000000.0,647041.0,107070.0
kc_house_data_procd,2,8,416729000000000.0,636267.0,96296.0
kc_house_data_procd,2,10,321846000000000.0,629594.0,89622.8
kc_house_data_procd,2,12,277552000000000.0,626862.0,86890.7
kc_house_data_procd,2,14,258277000000000.0,626829.0,86857.4
kc_house_data_procd,2,16,249807000000000.0,627294.0,87322.3
kc_house_data_procd,2,18,247221000000000.0,627504.0,87532.3
kc_house_data_procd,2,6,571004000000000.0,662150.0,112918.0
kc_house_data_procd,2,8,396706000000000.0,649802.0,100569.0
kc_house_data_procd,2,10,303188000000000.0,642265.0,93032.6
kc_house_data_procd,2,12,259929000000000.0,642221.0,92987.9
kc_house_data_procd,2,14,239762000000000.0,642376.0,93143.6
kc_house_data_procd,2,16,234484000000000.0,642783.0,93550.4
kc_house_data_procd,2,18,233399000000000.0,642791.0,93558.5
