dataset,delayed,depth,impurity,relerror,accuracy
mushrooms_procd,1,1,1631.95,0.670567,0.846675
mushrooms_procd,1,2,1065.75,0.605911,0.91133
mushrooms_procd,1,3,847.038,0.589901,0.9273399999999999
mushrooms_procd,1,4,560.725,0.575739,0.9415020000000001
mushrooms_procd,1,5,538.668,0.574507,0.942734
mushrooms_procd,1,6,532.505,0.574507,0.942734
mushrooms_procd,1,1,1664.22,0.6403939999999999,0.861453
mushrooms_procd,1,2,1070.87,0.591749,0.910099
mushrooms_procd,1,3,752.02,0.5701970000000001,0.93165
mushrooms_procd,1,4,558.8969999999999,0.562808,0.939039
mushrooms_procd,1,5,531.35,0.557882,0.943966
mushrooms_procd,1,6,505.483,0.557882,0.943966
mushrooms_procd,1,1,1630.64,0.684113,0.844828
mushrooms_procd,1,2,784.816,0.597906,0.931034
mushrooms_procd,1,3,585.377,0.5775859999999999,0.951355
mushrooms_procd,1,4,408.64599999999996,0.5763550000000001,0.952586
mushrooms_procd,1,5,305.829,0.568966,0.959975
mushrooms_procd,1,6,298.237,0.568966,0.959975
mushrooms_procd,1,1,1650.17,0.671798,0.8546799999999999
mushrooms_procd,1,2,1049.2,0.618842,0.9076350000000001
mushrooms_procd,1,3,745.8,0.603448,0.9230299999999999
mushrooms_procd,1,4,636.985,0.594828,0.93165
mushrooms_procd,1,5,593.504,0.594212,0.932266
mushrooms_procd,1,6,577.3919999999999,0.596675,0.929803
mushrooms_procd,1,1,1636.54,0.67303,0.8485219999999999
mushrooms_procd,1,2,1050.26,0.616379,0.905172
mushrooms_procd,1,3,828.71,0.6003689999999999,0.921182
mushrooms_procd,1,4,543.947,0.590517,0.931034
mushrooms_procd,1,5,516.284,0.590517,0.931034
mushrooms_procd,1,6,500.524,0.589286,0.932266
mushrooms_procd,0,1,1631.95,0.670567,0.846675
mushrooms_procd,0,2,1065.75,0.605911,0.91133
mushrooms_procd,0,3,840.7180000000001,0.589901,0.9273399999999999
mushrooms_procd,0,4,555.097,0.573892,0.94335
mushrooms_procd,0,5,512.242,0.565887,0.951355
mushrooms_procd,0,6,511.49199999999996,0.565887,0.951355
mushrooms_procd,0,1,1664.22,0.6403939999999999,0.861453
mushrooms_procd,0,2,1070.87,0.591749,0.910099
mushrooms_procd,0,3,752.02,0.5701970000000001,0.93165
mushrooms_procd,0,4,554.668,0.564655,0.937192
mushrooms_procd,0,5,521.965,0.560345,0.9415020000000001
mushrooms_procd,0,6,494.379,0.560345,0.9415020000000001
mushrooms_procd,0,1,1630.64,0.684113,0.844828
mushrooms_procd,0,2,784.816,0.597906,0.931034
mushrooms_procd,0,3,577.961,0.5775859999999999,0.951355
mushrooms_procd,0,4,436.48800000000006,0.56835,0.960591
mushrooms_procd,0,5,352.02,0.568966,0.959975
mushrooms_procd,0,6,349.327,0.568966,0.959975
mushrooms_procd,0,1,1650.17,0.671798,0.8546799999999999
mushrooms_procd,0,2,1041.48,0.628695,0.897783
mushrooms_procd,0,3,742.6160000000001,0.603448,0.9230299999999999
mushrooms_procd,0,4,624.557,0.593596,0.932882
mushrooms_procd,0,5,476.981,0.582512,0.943966
mushrooms_procd,0,6,467.785,0.5837439999999999,0.942734
mushrooms_procd,0,1,1636.54,0.67303,0.8485219999999999
mushrooms_procd,0,2,1050.26,0.616379,0.905172
mushrooms_procd,0,3,823.574,0.6003689999999999,0.921182
mushrooms_procd,0,4,637.828,0.582512,0.939039
mushrooms_procd,0,5,600.99,0.580665,0.940887
mushrooms_procd,0,6,574.872,0.581897,0.9396549999999999
