dataset,delayed,depth,impurity,relerror,accuracy
nyc-rolling-sales_procd,1,6,4.08087e+18,2843230.0,1266420.0
nyc-rolling-sales_procd,1,8,4.03987e+18,2782900.0,1206090.0
nyc-rolling-sales_procd,1,10,3.99504e+18,2711370.0,1134560.0
nyc-rolling-sales_procd,1,12,3.96457e+18,2673960.0,1097140.0
nyc-rolling-sales_procd,1,14,3.93718e+18,2615420.0,1038610.0
nyc-rolling-sales_procd,1,16,3.92454e+18,2583750.0,1006940.0
nyc-rolling-sales_procd,1,18,3.91738e+18,2563260.0,986447.0
nyc-rolling-sales_procd,1,6,4.98665e+18,2586800.0,1051590.0
nyc-rolling-sales_procd,1,8,4.9151e+18,2553930.0,1018730.0
nyc-rolling-sales_procd,1,10,4.85842e+18,2498070.0,962859.0
nyc-rolling-sales_procd,1,12,4.81563e+18,2451580.0,916373.0
nyc-rolling-sales_procd,1,14,4.80138e+18,2412850.0,877638.0
nyc-rolling-sales_procd,1,16,4.79083e+18,2384510.0,849306.0
nyc-rolling-sales_procd,1,18,4.78183e+18,2367780.0,832575.0
nyc-rolling-sales_procd,1,6,4.98637e+18,2605430.0,1097110.0
nyc-rolling-sales_procd,1,8,4.90856e+18,2547530.0,1039220.0
nyc-rolling-sales_procd,1,10,4.84499e+18,2479800.0,971485.0
nyc-rolling-sales_procd,1,12,4.81426e+18,2405850.0,897536.0
nyc-rolling-sales_procd,1,14,4.79219e+18,2362790.0,854477.0
nyc-rolling-sales_procd,1,16,4.77991e+18,2338750.0,830436.0
nyc-rolling-sales_procd,1,18,4.77225e+18,2316110.0,807791.0
nyc-rolling-sales_procd,1,6,4.43838e+18,2789150.0,1212640.0
nyc-rolling-sales_procd,1,8,4.38583e+18,2731600.0,1155090.0
nyc-rolling-sales_procd,1,10,4.30627e+18,2666610.0,1090100.0
nyc-rolling-sales_procd,1,12,4.27947e+18,2640060.0,1063540.0
nyc-rolling-sales_procd,1,14,4.26945e+18,2598160.0,1021650.0
nyc-rolling-sales_procd,1,16,4.26064e+18,2560180.0,983670.0
nyc-rolling-sales_procd,1,18,4.25145e+18,2538360.0,961847.0
nyc-rolling-sales_procd,1,6,4.63201e+18,2647870.0,1143800.0
nyc-rolling-sales_procd,1,8,4.57534e+18,2571740.0,1067660.0
nyc-rolling-sales_procd,1,10,4.50944e+18,2531810.0,1027730.0
nyc-rolling-sales_procd,1,12,4.46776e+18,2469560.0,965491.0
nyc-rolling-sales_procd,1,14,4.44386e+18,2429910.0,925835.0
nyc-rolling-sales_procd,1,16,4.43347e+18,2393780.0,889710.0
nyc-rolling-sales_procd,1,18,4.42599e+18,2377950.0,873881.0
nyc-rolling-sales_procd,0,6,4.07285e+18,2828300.0,1251480.0
nyc-rolling-sales_procd,0,8,4.00605e+18,2768730.0,1191920.0
nyc-rolling-sales_procd,0,10,3.96815e+18,2701290.0,1124480.0
nyc-rolling-sales_procd,0,12,3.93605e+18,2641600.0,1064790.0
nyc-rolling-sales_procd,0,14,3.91522e+18,2602640.0,1025830.0
nyc-rolling-sales_procd,0,16,3.90362e+18,2569690.0,992875.0
nyc-rolling-sales_procd,0,18,3.897e+18,2551710.0,974899.0
nyc-rolling-sales_procd,0,6,4.97534e+18,2598200.0,1063000.0
nyc-rolling-sales_procd,0,8,4.9074e+18,2530780.0,995575.0
nyc-rolling-sales_procd,0,10,4.85402e+18,2457970.0,922759.0
nyc-rolling-sales_procd,0,12,4.82389e+18,2403690.0,868486.0
nyc-rolling-sales_procd,0,14,4.81064e+18,2370970.0,835767.0
nyc-rolling-sales_procd,0,16,4.79938e+18,2339300.0,804097.0
nyc-rolling-sales_procd,0,18,4.79364e+18,2324380.0,789177.0
nyc-rolling-sales_procd,0,6,4.98952e+18,2587560.0,1079250.0
nyc-rolling-sales_procd,0,8,4.9167e+18,2511610.0,1003300.0
nyc-rolling-sales_procd,0,10,4.87176e+18,2427860.0,919545.0
nyc-rolling-sales_procd,0,12,4.83853e+18,2368840.0,860527.0
nyc-rolling-sales_procd,0,14,4.81677e+18,2321070.0,812758.0
nyc-rolling-sales_procd,0,16,4.80397e+18,2294580.0,786262.0
nyc-rolling-sales_procd,0,18,4.79344e+18,2277390.0,769077.0
nyc-rolling-sales_procd,0,6,4.43053e+18,2813660.0,1237150.0
nyc-rolling-sales_procd,0,8,4.37386e+18,2741930.0,1165420.0
nyc-rolling-sales_procd,0,10,4.33338e+18,2670530.0,1094020.0
nyc-rolling-sales_procd,0,12,4.29319e+18,2607210.0,1030690.0
nyc-rolling-sales_procd,0,14,4.2742e+18,2557930.0,981413.0
nyc-rolling-sales_procd,0,16,4.26084e+18,2521980.0,945470.0
nyc-rolling-sales_procd,0,18,4.25429e+18,2505760.0,929243.0
nyc-rolling-sales_procd,0,6,4.64791e+18,2650700.0,1146630.0
nyc-rolling-sales_procd,0,8,4.58575e+18,2590650.0,1086580.0
nyc-rolling-sales_procd,0,10,4.53286e+18,2523640.0,1019570.0
nyc-rolling-sales_procd,0,12,4.49274e+18,2464670.0,960597.0
nyc-rolling-sales_procd,0,14,4.4717e+18,2424690.0,920616.0
nyc-rolling-sales_procd,0,16,4.45893e+18,2399860.0,895784.0
nyc-rolling-sales_procd,0,18,4.45254e+18,2388410.0,884339.0
