dataset,delayed,depth,impurity,relerror,accuracy
song_year_procd,1,6,40469800.0,2005.52,6.99558
song_year_procd,1,8,38741300.0,2005.39,6.86802
song_year_procd,1,10,36843100.0,2005.34,6.8147199999999994
song_year_procd,1,12,34099700.0,2005.42,6.890639999999999
song_year_procd,1,14,29974400.0,2005.63,7.0991800000000005
song_year_procd,1,16,25557100.0,2005.89,7.36722
song_year_procd,1,18,22136800.0,2006.11,7.586760000000001
song_year_procd,1,6,40103700.0,2005.45,7.078460000000001
song_year_procd,1,8,38398700.0,2005.3,6.93014
song_year_procd,1,10,36518400.0,2005.23,6.85876
song_year_procd,1,12,33825800.0,2005.29,6.92167
song_year_procd,1,14,29899500.0,2005.48,7.1067800000000005
song_year_procd,1,16,25784200.0,2005.71,7.33743
song_year_procd,1,18,22512000.0,2005.92,7.5517
song_year_procd,1,6,40317700.0,2005.45,7.0364
song_year_procd,1,8,38575000.0,2005.29,6.8798699999999995
song_year_procd,1,10,36692700.0,2005.23,6.81735
song_year_procd,1,12,33984800.0,2005.3,6.88253
song_year_procd,1,14,30173700.0,2005.49,7.080239999999999
song_year_procd,1,16,25995500.0,2005.76,7.3438
song_year_procd,1,18,22703800.0,2005.99,7.574139999999999
song_year_procd,1,6,40191300.0,2005.43,7.04962
song_year_procd,1,8,38480300.0,2005.29,6.901110000000001
song_year_procd,1,10,36549000.0,2005.21,6.82573
song_year_procd,1,12,33801700.0,2005.28,6.895580000000001
song_year_procd,1,14,29739200.0,2005.47,7.08177
song_year_procd,1,16,25393000.0,2005.74,7.3512699999999995
song_year_procd,1,18,22079800.0,2005.95,7.5647199999999994
song_year_procd,1,6,40352500.0,2005.47,7.046069999999999
song_year_procd,1,8,38652500.0,2005.32,6.89778
song_year_procd,1,10,36736300.0,2005.25,6.82878
song_year_procd,1,12,33991400.0,2005.3,6.87604
song_year_procd,1,14,30074200.0,2005.48,7.0601199999999995
song_year_procd,1,16,26022600.0,2005.73,7.30797
song_year_procd,1,18,22706800.0,2005.95,7.53206
song_year_procd,0,6,40475400.0,2005.52,6.98965
song_year_procd,0,8,38672300.0,2005.38,6.85349
song_year_procd,0,10,36627900.0,2005.33,6.7991600000000005
song_year_procd,0,12,33573400.0,2005.4,6.87633
song_year_procd,0,14,29474200.0,2005.6,7.074889999999999
song_year_procd,0,16,25124700.0,2005.85,7.3288
song_year_procd,0,18,21575800.0,2006.09,7.56543
song_year_procd,0,6,40071900.0,2005.45,7.07985
song_year_procd,0,8,38344500.0,2005.3,6.92845
song_year_procd,0,10,36296300.0,2005.23,6.856669999999999
song_year_procd,0,12,33241600.0,2005.29,6.9158
song_year_procd,0,14,29037500.0,2005.49,7.11627
song_year_procd,0,16,24671500.0,2005.74,7.365289999999999
song_year_procd,0,18,21148800.0,2005.96,7.591660000000001
song_year_procd,0,6,40321600.0,2005.45,7.03693
song_year_procd,0,8,38585600.0,2005.31,6.8928199999999995
song_year_procd,0,10,36466300.0,2005.23,6.82057
song_year_procd,0,12,33459000.0,2005.29,6.87723
song_year_procd,0,14,29306000.0,2005.48,7.0662199999999995
song_year_procd,0,16,24940900.0,2005.72,7.30915
song_year_procd,0,18,21404800.0,2005.95,7.53927
song_year_procd,0,6,40190600.0,2005.44,7.05209
song_year_procd,0,8,38416400.0,2005.28,6.89106
song_year_procd,0,10,36336400.0,2005.21,6.8221
song_year_procd,0,12,33319400.0,2005.27,6.885660000000001
song_year_procd,0,14,29109000.0,2005.46,7.07787
song_year_procd,0,16,24765700.0,2005.72,7.3353
song_year_procd,0,18,21408200.0,2005.93,7.54179
song_year_procd,0,6,40356600.0,2005.46,7.0411600000000005
song_year_procd,0,8,38618900.0,2005.32,6.89545
song_year_procd,0,10,36574600.0,2005.25,6.828639999999999
song_year_procd,0,12,33467700.0,2005.3,6.8795
song_year_procd,0,14,29235300.0,2005.47,7.052789999999999
song_year_procd,0,16,24843900.0,2005.74,7.31493
song_year_procd,0,18,21261700.0,2005.97,7.54882
