dataset,delayed,depth,impurity,relerror,accuracy
student-por_procd,3,1,1707.75,12.546,2.12737
student-por_procd,3,2,900.091,12.0262,1.60756
student-por_procd,3,3,689.561,11.8594,1.44084
student-por_procd,3,4,612.495,11.8573,1.43874
student-por_procd,3,5,552.994,11.8172,1.39858
student-por_procd,3,6,530.174,11.8366,1.41801
student-por_procd,3,1,2528.74,13.8935,1.66872
student-por_procd,3,2,1255.46,13.4494,1.22462
student-por_procd,3,3,747.758,13.1959,0.971089
student-por_procd,3,4,560.947,13.1829,0.9581430000000001
student-por_procd,3,5,531.039,13.1854,0.960621
student-por_procd,3,6,514.7080000000001,13.1947,0.969932
student-por_procd,3,1,2493.34,13.3759,1.6394799999999998
student-por_procd,3,2,1313.12,12.8328,1.09638
student-por_procd,3,3,879.472,12.5101,0.773649
student-por_procd,3,4,761.275,12.5745,0.838065
student-por_procd,3,5,714.735,12.5243,0.787853
student-por_procd,3,6,677.5319999999999,12.5581,0.821693
student-por_procd,3,1,2440.37,13.5731,1.67388
student-por_procd,3,2,1290.16,13.1208,1.2216
student-por_procd,3,3,817.841,12.9277,1.02849
student-por_procd,3,4,713.243,12.9703,1.0710600000000001
student-por_procd,3,5,615.5419999999999,12.9846,1.08538
student-por_procd,3,6,566.8340000000001,12.993,1.09375
student-por_procd,3,1,2485.26,13.3935,1.66485
student-por_procd,3,2,1381.0,12.7699,1.04119
student-por_procd,3,3,940.3380000000001,12.6109,0.8822040000000001
student-por_procd,3,4,847.325,12.6798,0.951131
student-por_procd,3,5,777.107,12.6806,0.9519190000000001
student-por_procd,3,6,743.71,12.6994,0.970715
student-por_procd,2,1,1707.75,12.546,2.12737
student-por_procd,2,2,900.091,12.0262,1.60756
student-por_procd,2,3,689.561,11.8594,1.44084
student-por_procd,2,4,612.495,11.8573,1.43874
student-por_procd,2,5,552.994,11.8172,1.39858
student-por_procd,2,6,530.174,11.8366,1.41801
student-por_procd,2,1,2528.74,13.8935,1.66872
student-por_procd,2,2,1255.46,13.4494,1.22462
student-por_procd,2,3,747.758,13.1959,0.971089
student-por_procd,2,4,560.947,13.1829,0.9581430000000001
student-por_procd,2,5,531.039,13.1854,0.960621
student-por_procd,2,6,514.7080000000001,13.1947,0.969932
student-por_procd,2,1,2493.34,13.3759,1.6394799999999998
student-por_procd,2,2,1313.12,12.8328,1.09638
student-por_procd,2,3,879.472,12.5101,0.773649
student-por_procd,2,4,761.275,12.5745,0.838065
student-por_procd,2,5,714.735,12.5243,0.787853
student-por_procd,2,6,677.5319999999999,12.5581,0.821693
student-por_procd,2,1,2440.37,13.5731,1.67388
student-por_procd,2,2,1290.16,13.1208,1.2216
student-por_procd,2,3,817.841,12.9277,1.02849
student-por_procd,2,4,713.243,12.9703,1.0710600000000001
student-por_procd,2,5,615.5419999999999,12.9846,1.08538
student-por_procd,2,6,566.8340000000001,12.993,1.09375
student-por_procd,2,1,2485.26,13.3935,1.66485
student-por_procd,2,2,1381.0,12.7699,1.04119
student-por_procd,2,3,940.3380000000001,12.6109,0.8822040000000001
student-por_procd,2,4,847.325,12.6798,0.951131
student-por_procd,2,5,777.107,12.6806,0.9519190000000001
student-por_procd,2,6,743.71,12.6994,0.970715
