dataset,delayed,depth,impurity,relerror,accuracy
survey_procd,3,1,366.76800000000003,0.864542,0.689243
survey_procd,3,2,340.825,0.864542,0.689243
survey_procd,3,3,259.808,0.7410359999999999,0.8127489999999999
survey_procd,3,4,244.46099999999998,0.7410359999999999,0.8127489999999999
survey_procd,3,5,227.762,0.756972,0.796813
survey_procd,3,6,217.713,0.7689239999999999,0.7848609999999999
survey_procd,3,1,379.756,0.776892,0.7290840000000001
survey_procd,3,2,354.23199999999997,0.776892,0.7290840000000001
survey_procd,3,3,264.004,0.681275,0.824701
survey_procd,3,4,251.53099999999998,0.673307,0.8326690000000001
survey_procd,3,5,239.66400000000002,0.669323,0.8366530000000001
survey_procd,3,6,227.218,0.673307,0.8326690000000001
survey_procd,3,1,387.15,0.737052,0.76494
survey_procd,3,2,357.944,0.737052,0.76494
survey_procd,3,3,271.107,0.649402,0.85259
survey_procd,3,4,260.51599999999996,0.661355,0.8406370000000001
survey_procd,3,5,248.452,0.661355,0.8406370000000001
survey_procd,3,6,241.53900000000002,0.665339,0.8366530000000001
survey_procd,3,1,375.26800000000003,0.76494,0.6972109999999999
survey_procd,3,2,351.445,0.76494,0.6972109999999999
survey_procd,3,3,263.89799999999997,0.629482,0.8326690000000001
survey_procd,3,4,254.329,0.6414340000000001,0.820717
survey_procd,3,5,238.791,0.629482,0.8326690000000001
survey_procd,3,6,223.03099999999998,0.625498,0.8366530000000001
survey_procd,3,1,378.551,0.7689239999999999,0.7290840000000001
survey_procd,3,2,350.31199999999995,0.7689239999999999,0.7290840000000001
survey_procd,3,3,267.129,0.649402,0.848606
survey_procd,3,4,249.826,0.649402,0.848606
survey_procd,3,5,240.525,0.665339,0.8326690000000001
survey_procd,3,6,219.628,0.673307,0.824701
survey_procd,2,1,366.76800000000003,0.864542,0.689243
survey_procd,2,2,340.825,0.864542,0.689243
survey_procd,2,3,259.808,0.7410359999999999,0.8127489999999999
survey_procd,2,4,244.46099999999998,0.7410359999999999,0.8127489999999999
survey_procd,2,5,228.06900000000002,0.756972,0.796813
survey_procd,2,6,216.48,0.7689239999999999,0.7848609999999999
survey_procd,2,1,379.756,0.776892,0.7290840000000001
survey_procd,2,2,354.216,0.776892,0.7290840000000001
survey_procd,2,3,264.047,0.681275,0.824701
survey_procd,2,4,249.46599999999998,0.673307,0.8326690000000001
survey_procd,2,5,235.545,0.673307,0.8326690000000001
survey_procd,2,6,222.665,0.689243,0.816733
survey_procd,2,1,387.15,0.737052,0.76494
survey_procd,2,2,357.914,0.737052,0.76494
survey_procd,2,3,271.155,0.649402,0.85259
survey_procd,2,4,260.825,0.661355,0.8406370000000001
survey_procd,2,5,242.405,0.657371,0.844622
survey_procd,2,6,231.835,0.681275,0.820717
survey_procd,2,1,375.26800000000003,0.76494,0.6972109999999999
survey_procd,2,2,351.445,0.76494,0.6972109999999999
survey_procd,2,3,263.89799999999997,0.629482,0.8326690000000001
survey_procd,2,4,254.329,0.6414340000000001,0.820717
survey_procd,2,5,238.166,0.629482,0.8326690000000001
survey_procd,2,6,223.34,0.625498,0.8366530000000001
survey_procd,2,1,378.551,0.7689239999999999,0.7290840000000001
survey_procd,2,2,350.31199999999995,0.7689239999999999,0.7290840000000001
survey_procd,2,3,267.129,0.649402,0.848606
survey_procd,2,4,249.826,0.649402,0.848606
survey_procd,2,5,237.769,0.653386,0.844622
survey_procd,2,6,217.23,0.669323,0.828685
