dataset,delayed,depth,impurity,relerror,accuracy
survival,0,1,64,1.4918,0.737705
survival,0,1,58,1.60656,0.737705
survival,0,1,69,1.39344,0.803279
survival,0,1,68,1.42623,0.786885
survival,0,1,68,1.57377,0.606557
survival,0,2,55,1.4918,0.737705
survival,0,2,52,1.63934,0.704918
survival,0,2,67,1.42623,0.770492
survival,0,2,56,1.54096,0.672131
survival,0,2,59,1.4918,0.688525
survival,0,3,52,1.5082,0.721311
survival,0,3,52,1.63934,0.704918
survival,0,3,62,1.34426,0.852459
survival,0,3,54,1.55738,0.655738
survival,0,3,58,1.47541,0.704918
survival,0,4,50,1.5082,0.721311
survival,0,4,50,1.65574,0.688525
survival,0,4,56,1.40984,0.786885
survival,0,4,51,1.4918,0.721311
survival,0,4,56,1.4918,0.688525
survival,0,5,50,1.5082,0.721311
survival,0,5,47,1.65574,0.688525
survival,0,5,53,1.39344,0.803279
survival,0,5,47,1.55738,0.655738
survival,0,5,52,1.45902,0.721311
survival,0,6,50,1.5082,0.721311
survival,0,6,47,1.65574,0.688525
survival,0,6,52,1.36066,0.836066
survival,0,6,47,1.55738,0.655738
survival,0,6,51,1.47541,0.704918
dataset,delayed,depth,impurity,relerror,accuracy
survival,1,1,64,1.4918,0.737705
survival,1,1,58,1.60656,0.737705
survival,1,1,69,1.39344,0.803279
survival,1,1,68,1.42623,0.786885
survival,1,1,70,1.36066,0.819672
survival,1,2,59,1.5082,0.721311
survival,1,2,52,1.63934,0.704918
survival,1,2,67,1.42623,0.770492
survival,1,2,56,1.54098,0.672131
survival,1,2,59,1.4918,0.688525
survival,1,3,55,1.5082,0.721311
survival,1,3,52,1.63934,0.704918
survival,1,3,62,1.34426,0.852459
survival,1,3,56,1.54098,0.672131
survival,1,3,59,1.4918,0.688525
survival,1,4,50,1.5082,0.721311
survival,1,4,49,1.67213,0.672131
survival,1,4,61,1.39344,0.803279
survival,1,4,53,1.47541,0.737705
survival,1,4,54,1.45902,0.721311
survival,1,5,50,1.5082,0.721311
survival,1,5,49,1.67213,0.672131
survival,1,5,56,1.37705,0.819672
survival,1,5,49,1.54098,0.672131
survival,1,5,51,1.44262,0.737705
survival,1,6,49,1.52459,0.704918
survival,1,6,49,1.67213,0.672131
survival,1,6,56,1.37705,0.819672
survival,1,6,49,1.54098,0.672131
survival,1,6,51,1.44262,0.737705
