dataset,delayed,depth,impurity,relerror,accuracy
telco_customer_churn_procd,1,6,1472.81,0.534091,0.758523
telco_customer_churn_procd,1,8,1359.59,0.528409,0.764205
telco_customer_churn_procd,1,10,1272.46,0.538352,0.754261
telco_customer_churn_procd,1,12,1192.1,0.544744,0.747869
telco_customer_churn_procd,1,14,1141.0,0.541193,0.75142
telco_customer_churn_procd,1,16,1130.03,0.541193,0.75142
telco_customer_churn_procd,1,18,1129.04,0.542614,0.75
telco_customer_churn_procd,1,6,1507.38,0.45880699999999996,0.798295
telco_customer_churn_procd,1,8,1395.94,0.46946000000000004,0.787642
telco_customer_churn_procd,1,10,1249.21,0.487216,0.769886
telco_customer_churn_procd,1,12,1140.97,0.49431800000000004,0.762784
telco_customer_churn_procd,1,14,1115.49,0.496449,0.760653
telco_customer_churn_procd,1,16,1112.96,0.49786899999999995,0.759233
telco_customer_churn_procd,1,18,1112.96,0.49786899999999995,0.759233
telco_customer_churn_procd,1,6,1490.83,0.47372200000000003,0.792614
telco_customer_churn_procd,1,8,1395.84,0.484375,0.78196
telco_customer_churn_procd,1,10,1280.03,0.490767,0.775568
telco_customer_churn_procd,1,12,1213.73,0.497159,0.769176
telco_customer_churn_procd,1,14,1168.61,0.496449,0.769886
telco_customer_churn_procd,1,16,1140.63,0.49431800000000004,0.772017
telco_customer_churn_procd,1,18,1124.62,0.49573900000000004,0.770597
telco_customer_churn_procd,1,6,1503.74,0.48224399999999995,0.788352
telco_customer_churn_procd,1,8,1389.79,0.475142,0.795455
telco_customer_churn_procd,1,10,1270.5,0.48863599999999996,0.78196
telco_customer_churn_procd,1,12,1182.33,0.506392,0.764205
telco_customer_churn_procd,1,14,1139.62,0.506392,0.764205
telco_customer_churn_procd,1,16,1120.35,0.507812,0.762784
telco_customer_churn_procd,1,18,1109.12,0.507812,0.762784
telco_customer_churn_procd,1,6,1481.29,0.490767,0.777699
telco_customer_churn_procd,1,8,1362.95,0.485795,0.78267
telco_customer_churn_procd,1,10,1264.04,0.493608,0.774858
telco_customer_churn_procd,1,12,1163.58,0.497159,0.771307
telco_customer_churn_procd,1,14,1110.49,0.502131,0.766335
telco_customer_churn_procd,1,16,1099.12,0.50142,0.767045
telco_customer_churn_procd,1,18,1099.12,0.50142,0.767045
telco_customer_churn_procd,0,6,1453.31,0.517756,0.774858
telco_customer_churn_procd,0,8,1319.19,0.53125,0.761364
telco_customer_churn_procd,0,10,1204.17,0.533381,0.759233
telco_customer_churn_procd,0,12,1127.45,0.521307,0.771307
telco_customer_churn_procd,0,14,1094.79,0.522727,0.769886
telco_customer_churn_procd,0,16,1088.03,0.521307,0.771307
telco_customer_churn_procd,0,18,1088.03,0.522017,0.770597
telco_customer_churn_procd,0,6,1464.93,0.46022700000000005,0.796875
telco_customer_churn_procd,0,8,1331.51,0.472301,0.784801
telco_customer_churn_procd,0,10,1229.71,0.48366499999999996,0.773438
telco_customer_churn_procd,0,12,1167.39,0.48863599999999996,0.768466
telco_customer_churn_procd,0,14,1133.16,0.49431800000000004,0.762784
telco_customer_churn_procd,0,16,1126.32,0.49502799999999997,0.762074
telco_customer_churn_procd,0,18,1125.63,0.49502799999999997,0.762074
telco_customer_churn_procd,0,6,1452.14,0.477983,0.788352
telco_customer_churn_procd,0,8,1336.29,0.48863599999999996,0.777699
telco_customer_churn_procd,0,10,1239.8,0.50071,0.765625
telco_customer_churn_procd,0,12,1162.15,0.502131,0.764205
telco_customer_churn_procd,0,14,1138.7,0.502131,0.764205
telco_customer_churn_procd,0,16,1135.94,0.506392,0.759943
telco_customer_churn_procd,0,18,1134.01,0.503551,0.762784
telco_customer_churn_procd,0,6,1444.81,0.490767,0.77983
telco_customer_churn_procd,0,8,1325.31,0.48508500000000004,0.785511
telco_customer_churn_procd,0,10,1229.89,0.497159,0.773438
telco_customer_churn_procd,0,12,1161.3,0.507812,0.762784
telco_customer_churn_procd,0,14,1132.39,0.506392,0.764205
telco_customer_churn_procd,0,16,1127.2,0.507102,0.763494
telco_customer_churn_procd,0,18,1127.2,0.507102,0.763494
telco_customer_churn_procd,0,6,1460.4,0.48366499999999996,0.784801
telco_customer_churn_procd,0,8,1342.93,0.472301,0.796165
telco_customer_churn_procd,0,10,1237.37,0.482955,0.785511
telco_customer_churn_procd,0,12,1173.25,0.49147700000000005,0.776989
telco_customer_churn_procd,0,14,1143.29,0.497159,0.771307
telco_customer_churn_procd,0,16,1127.21,0.50071,0.767756
telco_customer_churn_procd,0,18,1125.87,0.50071,0.767756
