dataset,delayed,depth,impurity,relerror,accuracy
voice,1,1,217.1,0.559242,0.9494469999999999
voice,1,2,152.762,0.554502,0.9541860000000001
voice,1,3,118.104,0.551343,0.9573459999999999
voice,1,4,85.8464,0.5529229999999999,0.955766
voice,1,5,72.1332,0.545024,0.963665
voice,1,6,66.9244,0.545024,0.963665
voice,1,1,226.80900000000003,0.505529,0.9589260000000001
voice,1,2,171.06599999999997,0.505529,0.9589260000000001
voice,1,3,129.658,0.494471,0.9699840000000001
voice,1,4,93.0759,0.49131099999999994,0.973144
voice,1,5,75.0309,0.481833,0.9826219999999999
voice,1,6,72.5069,0.481833,0.9826219999999999
voice,1,1,215.512,0.546603,0.9510270000000001
voice,1,2,160.91299999999998,0.540284,0.9573459999999999
voice,1,3,123.34899999999999,0.5339649999999999,0.963665
voice,1,4,98.8325,0.530806,0.966825
voice,1,5,80.8158,0.5339649999999999,0.963665
voice,1,6,74.9272,0.5355449999999999,0.9620850000000001
voice,1,1,215.44,0.545024,0.9510270000000001
voice,1,2,157.806,0.545024,0.9510270000000001
voice,1,3,135.55,0.549763,0.9462879999999999
voice,1,4,100.927,0.5355449999999999,0.960506
voice,1,5,79.0908,0.529226,0.966825
voice,1,6,77.3362,0.529226,0.966825
voice,1,1,226.144,0.581359,0.9573459999999999
voice,1,2,158.626,0.576619,0.9620850000000001
voice,1,3,136.809,0.586098,0.952607
voice,1,4,95.1128,0.5639810000000001,0.9747239999999999
voice,1,5,81.439,0.562401,0.976303
voice,1,6,74.8538,0.567141,0.971564
voice,0,1,217.1,0.559242,0.9494469999999999
voice,0,2,147.251,0.554502,0.9541860000000001
voice,0,3,114.821,0.545024,0.963665
voice,0,4,89.4694,0.5434439999999999,0.965245
voice,0,5,80.8502,0.5434439999999999,0.965245
voice,0,6,78.7194,0.5434439999999999,0.965245
voice,0,1,226.80900000000003,0.505529,0.9589260000000001
voice,0,2,164.72,0.505529,0.9589260000000001
voice,0,3,127.664,0.494471,0.9699840000000001
voice,0,4,92.3235,0.486572,0.977883
voice,0,5,83.1118,0.486572,0.977883
voice,0,6,81.1397,0.486572,0.977883
voice,0,1,215.512,0.546603,0.9510270000000001
voice,0,2,156.179,0.540284,0.9573459999999999
voice,0,3,123.145,0.5355449999999999,0.9620850000000001
voice,0,4,88.8883,0.5355449999999999,0.9620850000000001
voice,0,5,79.9094,0.530806,0.966825
voice,0,6,79.4051,0.530806,0.966825
voice,0,1,215.44,0.545024,0.9510270000000001
voice,0,2,153.46,0.545024,0.9510270000000001
voice,0,3,123.045,0.529226,0.966825
voice,0,4,94.57,0.530806,0.965245
voice,0,5,81.1471,0.532385,0.963665
voice,0,6,73.4626,0.530806,0.965245
voice,0,1,226.144,0.581359,0.9573459999999999
voice,0,2,155.235,0.576619,0.9620850000000001
voice,0,3,124.851,0.567141,0.971564
voice,0,4,95.2933,0.559242,0.979463
voice,0,5,83.7901,0.562401,0.976303
voice,0,6,75.8939,0.565561,0.973144
