dataset,delayed,depth,impurity,relerror,accuracy
wine,1,1,783.47,6.18809,0.5203760000000001
wine,1,2,715.435,6.17868,0.554859
wine,1,3,695.8660000000001,6.18495,0.5329149999999999
wine,1,4,661.0980000000001,6.1442,0.564263
wine,1,5,601.622,6.13166,0.583072
wine,1,6,562.055,6.1285300000000005,0.595611
wine,1,1,782.3439999999999,6.2194400000000005,0.492163
wine,1,2,705.957,6.21317,0.523511
wine,1,3,666.433,6.15361,0.570533
wine,1,4,641.877,6.14734,0.5736680000000001
wine,1,5,608.418,6.1442,0.567398
wine,1,6,553.442,6.12226,0.592476
wine,1,1,786.367,6.28527,0.47021899999999994
wine,1,2,707.2669999999999,6.20376,0.507837
wine,1,3,680.3539999999999,6.20063,0.5203760000000001
wine,1,4,634.515,6.15361,0.551724
wine,1,5,595.275,6.14107,0.561129
wine,1,6,558.773,6.11599,0.595611
wine,1,1,749.528,6.0627,0.570533
wine,1,2,717.0260000000001,6.0627,0.570533
wine,1,3,692.547,6.06583,0.564263
wine,1,4,642.855,6.02194,0.595611
wine,1,5,606.67,6.01881,0.6112850000000001
wine,1,6,560.757,6.04702,0.5862069999999999
wine,1,1,741.653,6.2664599999999995,0.53605
wine,1,2,713.424,6.2664599999999995,0.53605
wine,1,3,689.43,6.24138,0.561129
wine,1,4,655.721,6.24765,0.548589
wine,1,5,620.497,6.28527,0.5297810000000001
wine,1,6,577.408,6.2069,0.595611
wine,0,1,745.01,6.18182,0.548589
wine,0,2,715.799,6.18182,0.548589
wine,0,3,680.301,6.17555,0.5329149999999999
wine,0,4,646.795,6.15674,0.548589
wine,0,5,601.377,6.11285,0.595611
wine,0,6,551.756,6.094040000000001,0.6238239999999999
wine,0,1,739.863,6.1912199999999995,0.5329149999999999
wine,0,2,709.4760000000001,6.1912199999999995,0.5329149999999999
wine,0,3,674.299,6.14734,0.551724
wine,0,4,633.54,6.10658,0.583072
wine,0,5,601.314,6.11599,0.583072
wine,0,6,556.391,6.16614,0.53605
wine,0,1,740.82,6.19749,0.5203760000000001
wine,0,2,708.485,6.19749,0.5203760000000001
wine,0,3,675.9069999999999,6.19749,0.523511
wine,0,4,641.373,6.15987,0.551724
wine,0,5,597.737,6.18495,0.539185
wine,0,6,558.361,6.17868,0.551724
wine,0,1,749.528,6.0627,0.570533
wine,0,2,717.0260000000001,6.0627,0.570533
wine,0,3,678.405,6.08464,0.5329149999999999
wine,0,4,639.393,6.04702,0.5736680000000001
wine,0,5,583.302,6.0815,0.545455
wine,0,6,534.681,6.02821,0.598746
wine,0,1,741.653,6.2664599999999995,0.53605
wine,0,2,708.655,6.2664599999999995,0.53605
wine,0,3,672.737,6.25705,0.539185
wine,0,4,638.5830000000001,6.22884,0.570533
wine,0,5,583.3530000000001,6.23197,0.557994
wine,0,6,546.003,6.2664599999999995,0.54232
