dataset,delayed,depth,Impurity/deviance,rel error,accuracy,mae
hmnist,0,6,2427.2,4.437946,0.6628058,NA
hmnist,0,8,2178.6,4.481278,0.6452322,NA
hmnist,0,10,1961,4.541588,0.6190712,NA
hmnist,0,12,1823.8,4.569544,0.6100848,NA
hmnist,0,14,1767.2,4.585124,0.6023964,NA
hmnist,0,16,1746,4.59321,0.598502,NA
hmnist,0,18,1738.6,4.597802,0.5965052,NA
hmnist,1,6,2481.4,4.425232,0.66170712,NA
hmnist,1,8,2223.6,4.504144,0.641937,NA
hmnist,1,10,1988,4.546862,0.6241636,NA
hmnist,1,12,1880.2,4.565454,0.6104842,NA
hmnist,1,14,1852.8,4.575038,0.607289,NA
hmnist,1,16,1844.6,4.576936,0.6064902,NA
hmnist,1,18,1843.6,4.577736,0.6060906,NA
survival,0,1,65.4,1.49836,0.7344232,NA
survival,0,2,57.8,1.518026,0.7147542,NA
survival,0,3,55.6,1.504918,0.7278688,NA
survival,0,4,52.6,1.511476,0.7213114,NA
survival,0,5,49.8,1.514756,0.7180328,NA
survival,0,6,49.4,1.511478,0.7213116,NA
survival,1,1,65.8,1.455738,0.7770492,NA
survival,1,2,58.6,1.52131,0.7114754,NA
survival,1,3,56.8,1.504916,0.7278688,NA
survival,1,4,53.4,1.504164,0.7311474,NA
survival,1,5,51,1.508196,0.72459,NA
survival,1,6,50.8,1.511474,0.7213114,NA
