dataset,depth,delayed,imp,rel,acc
wine,1,0,744.1542,6.1667700000000005,0.5391847999999999
wine,1,1,744.1542,6.1667700000000005,0.5391847999999999
wine,2,0,712.6564000000001,6.169277999999999,0.537931
wine,2,1,713.7364,6.166144,0.5385580000000001
wine,3,0,675.912,6.141066,0.5561128
wine,3,1,680.9242,6.155488,0.5473354
wine,4,0,638.5138,6.112851999999999,0.583072
wine,4,1,645.1145999999999,6.11975,0.5736678
wine,5,0,589.5500000000001,6.115988000000001,0.5793104
wine,5,1,600.1962000000001,6.126645999999999,0.572414
wine,6,0,548.1214,6.098432,0.598746
wine,6,1,556.9923999999999,6.121632,0.5768028000000001
