delayed,depth,impurity,relerror,accuracy
0,6,0,0.4019,0.798869
0,8,0,0.401448,0.799321
0,10,0,0.403121,0.797648
0,12,0,0.404931,0.795838
0,14,0,0.407917,0.792852
0,16,0,0.4114,0.789369
0,18,0,0.414295,0.786474
0,6,0,0.409726,0.794979
0,8,0,0.410631,0.794074
0,10,0,0.414974,0.789731
0,12,0,0.417869,0.786836
0,14,0,0.420448,0.784257
0,16,0,0.422348,0.782357
0,18,0,0.426827,0.777878
0,6,0,0.411129,0.79439
0,8,0,0.412667,0.792852
0,10,0,0.415653,0.789867
0,12,0,0.418865,0.786655
0,14,0,0.422755,0.782764
0,16,0,0.425922,0.779597
0,18,0,0.428138,0.777381
0,6,0,0.399095,0.800407
0,8,0,0.4,0.799502
0,10,0,0.402217,0.797286
0,12,0,0.405971,0.793531
0,14,0,0.409229,0.790274
0,16,0,0.413526,0.785976
0,18,0,0.418457,0.781045
0,6,0,0.4133,0.793259
0,8,0,0.414205,0.792355
0,10,0,0.415245,0.791314
0,12,0,0.416964,0.789595
0,14,0,0.421172,0.785388
0,16,0,0.424384,0.782176
0,18,0,0.426057,0.780502
