delayed,depth,impurity,relerror,accuracy
1,6,0,0.40181,0.79896
1,8,0,0.402805,0.797964
1,10,0,0.405021,0.795748
1,12,0,0.409183,0.791586
1,14,0,0.414024,0.786745
1,16,0,0.419679,0.78109
1,18,0,0.420674,0.780095
1,6,0,0.409681,0.795024
1,8,0,0.411174,0.793531
1,10,0,0.41321,0.791495
1,12,0,0.417553,0.787152
1,14,0,0.422257,0.782447
1,16,0,0.428727,0.775978
1,18,0,0.429224,0.775481
1,6,0,0.411174,0.794345
1,8,0,0.413029,0.79249
1,10,0,0.414793,0.790726
1,12,0,0.417236,0.788283
1,14,0,0.421805,0.783714
1,16,0,0.425334,0.780185
1,18,0,0.4285,0.777019
1,6,0,0.399729,0.799774
1,8,0,0.399729,0.799774
1,10,0,0.402171,0.797331
1,12,0,0.4057,0.793802
1,14,0,0.408007,0.791495
1,16,0,0.413391,0.786112
1,18,0,0.4152,0.784302
1,6,0,0.413391,0.793169
1,8,0,0.414522,0.792038
1,10,0,0.41615,0.790409
1,12,0,0.418095,0.788464
1,14,0,0.422393,0.784166
1,16,0,0.426646,0.779914
1,18,0,0.428455,0.778105
