dataset,delayed,depth,impurtiy,rel error,accuracy,,,dataset,delayed,depth,impurtiy,rel error,accuracy,
wine,0,6,399,6.12226,0.576803,,,wine,0,6,394.6,6.075862,0.5880878,
wine,0,6,369,6.03448,0.592476,,,wine,0,8,353.6,6.071472,0.594357,
wine,0,6,413,6.10345,0.557994,,,wine,0,10,327.8,6.067712,0.5981192,
wine,0,6,393,6.09404,0.605016,,,wine,0,12,318.6,6.066458,0.601881,
wine,0,6,399,6.02508,0.60815,,,wine,0,14,311.6,6.063322,0.6056428,
wine,0,8,350,6.13793,0.564263,,,wine,0,16,311.6,6.063322,0.6056428,
wine,0,8,327,6.02194,0.60815,,,wine,0,18,311.6,6.063322,0.6056428,
wine,0,8,369,6.09091,0.567398,,,wine,1,6,406,6.090912,0.5636364,
wine,0,8,361,6.09091,0.60815,,,wine,1,8,351,6.079624,0.5768026,
wine,0,8,361,6.01567,0.623824,,,wine,1,10,332,6.078998,0.5811912,
wine,0,10,328,6.16301,0.545455,,,wine,1,12,324,6.079624,0.583699,
wine,0,10,309,6.03135,0.592476,,,wine,1,14,324,6.079624,0.583699,
wine,0,10,339,6.0815,0.570533,,,wine,1,16,324,6.079624,0.583699,
wine,0,10,326,6.06897,0.630094,,,wine,1,18,324,6.079624,0.583699,
wine,0,10,337,5.99373,0.652038,,,,,,,,,
wine,0,12,324,6.16301,0.545455,,,,,,,,,
wine,0,12,304,6.03448,0.589342,,,,,,,,,
wine,0,12,327,6.06583,0.586207,,,,,,,,,
wine,0,12,315,6.05016,0.648903,,,,,,,,,
wine,0,12,323,6.01881,0.639498,,,,,,,,,
wine,0,14,319,6.1536,0.554859,,,,,,,,,
wine,0,14,303,6.03762,0.589342,,,,,,,,,
wine,0,14,315,6.06583,0.586207,,,,,,,,,
wine,0,14,310,6.04389,0.652038,,,,,,,,,
wine,0,14,311,6.01567,0.645768,,,,,,,,,
wine,0,16,319,6.1536,0.554859,,,,,,,,,
wine,0,16,303,6.03762,0.589342,,,,,,,,,
wine,0,16,315,6.06583,0.586207,,,,,,,,,
wine,0,16,310,6.04389,0.652038,,,,,,,,,
wine,0,16,311,6.01567,0.645768,,,,,,,,,
wine,0,18,319,6.1536,0.554859,,,,,,,,,
wine,0,18,303,6.03762,0.589342,,,,,,,,,
wine,0,18,315,6.06583,0.586207,,,,,,,,,
wine,0,18,310,6.04389,0.652038,,,,,,,,,
wine,0,18,311,6.01567,0.645768,,,,,,,,,
wine,1,6,414,6.1348,0.567398,,,,,,,,,
wine,1,6,381,6.05643,0.545455,,,,,,,,,
wine,1,6,414,6.11599,0.53605,,,,,,,,,
wine,1,6,405,6.12226,0.554859,,,,,,,,,
wine,1,6,416,6.02508,0.61442,,,,,,,,,
wine,1,8,344,6.13793,0.557994,,,,,,,,,
wine,1,8,350,6.03135,0.570533,,,,,,,,,
wine,1,8,377,6.12539,0.529781,,,,,,,,,
wine,1,8,336,6.05643,0.623824,,,,,,,,,
wine,1,8,348,6.04702,0.601881,,,,,,,,,
wine,1,10,335,6.13166,0.564263,,,,,,,,,
wine,1,10,329,6.02508,0.576803,,,,,,,,,
wine,1,10,341,6.12226,0.539185,,,,,,,,,
wine,1,10,331,6.05643,0.623824,,,,,,,,,
wine,1,10,324,6.05956,0.601881,,,,,,,,,
wine,1,12,335,6.13166,0.564263,,,,,,,,,
wine,1,12,326,6.02508,0.583072,,,,,,,,,
wine,1,12,312,6.12853,0.539185,,,,,,,,,
wine,1,12,330,6.05956,0.62069,,,,,,,,,
wine,1,12,317,6.05329,0.611285,,,,,,,,,
wine,1,14,335,6.13166,0.564263,,,,,,,,,
wine,1,14,326,6.02508,0.583072,,,,,,,,,
wine,1,14,312,6.12853,0.539185,,,,,,,,,
wine,1,14,330,6.05956,0.62069,,,,,,,,,
wine,1,14,317,6.05329,0.611285,,,,,,,,,
wine,1,16,335,6.13166,0.564263,,,,,,,,,
wine,1,16,326,6.02508,0.583072,,,,,,,,,
wine,1,16,312,6.12853,0.539185,,,,,,,,,
wine,1,16,330,6.05956,0.62069,,,,,,,,,
wine,1,16,317,6.05329,0.611285,,,,,,,,,
wine,1,18,335,6.13166,0.564263,,,,,,,,,
wine,1,18,326,6.02508,0.583072,,,,,,,,,
wine,1,18,312,6.12853,0.539185,,,,,,,,,
wine,1,18,330,6.05956,0.62069,,,,,,,,,
wine,1,18,317,6.05329,0.611285,,,,,,,,,
,,,,,,,,,,,,,,
dataset,delayed,depth,impurtiy,rel error,accuracy,,,,dataset,delayed,depth,impurtiy,rel error,accuracy
wine,0,1,581,6.13166,58.3072,,,,wine,0,1,564.6,6.172412,54.35736
wine,0,1,562,6.30094,52.3511,,,,wine,0,2,551.2,6.183698,53.7931
wine,0,1,558,6.09404,54.8589,,,,wine,0,3,524,6.18119,53.89152
wine,0,1,570,6.1536,54.8589,,,,wine,0,4,484,6.153608,55.4859
wine,0,1,552,6.18182,51.4107,,,,wine,0,5,446.4,6.157366,54.92164
wine,0,2,578,6.19122,53.9185,,,,wine,0,6,399,6.158622,54.73356
wine,0,2,562,6.30094,52.3511,,,,wine,1,1,591.8,6.206268,51.72412
wine,0,2,558,6.09404,54.8589,,,,wine,1,2,573.2,6.189968,52.47648
wine,0,2,540,6.15674,53.9185,,,,wine,1,3,516.2,6.13598,56.42632
wine,0,2,518,6.17555,53.9185,,,,wine,1,4,478.4,6.13605,56.42634
wine,0,3,544,6.17241,57.8589,,,,wine,1,5,440.2,6.13605,57.0533
wine,0,3,537,6.30094,52.3511,,,,wine,1,6,394.2,6.117868,58.7461
wine,0,3,529,6.09718,53.2915,,,,,,,,,
wine,0,3,509,6.17868,52.6646,,,,,,,,,
wine,0,3,501,6.15674,53.2915,,,,,,,,,
wine,0,4,490,6.18182,55.1724,,,,,,,,,
wine,0,4,493,6.22571,56.7398,,,,,,,,,
wine,0,4,464,6.06897,55.4859,,,,,,,,,
wine,0,4,489,6.1348,55.7994,,,,,,,,,
wine,0,4,484,6.15674,54.232,,,,,,,,,
wine,0,5,449,6.15674,57.6803,,,,,,,,,
wine,0,5,462,6.25705,53.605,,,,,,,,,
wine,0,5,435,6.0721,55.4859,,,,,,,,,
wine,0,5,444,6.16928,52.9781,,,,,,,,,
wine,0,5,442,6.13166,54.8589,,,,,,,,,
wine,0,6,397,6.2069,52.3511,,,,,,,,,
wine,0,6,388,6.24765,54.5455,,,,,,,,,
wine,0,6,397,6.07837,55.7994,,,,,,,,,
wine,0,6,406,6.15047,54.5455,,,,,,,,,
wine,0,6,407,6.10972,56.4263,,,,,,,,,
wine,1,1,581,6.13166,58.3072,,,,,,,,,
wine,1,1,562,6.30094,52.3511,,,,,,,,,
wine,1,1,558,6.09404,54.8589,,,,,,,,,
wine,1,1,644,6.25078,47.6489,,,,,,,,,
wine,1,1,614,6.25392,45.4545,,,,,,,,,
wine,1,2,562,6.12226,58.3072,,,,,,,,,
wine,1,2,562,6.30094,52.3511,,,,,,,,,
wine,1,2,558,6.09404,54.8589,,,,,,,,,
wine,1,2,627,6.2163,47.6489,,,,,,,,,
